org_name,count,in_crosswalk,match_type,canonical_name
SB Ristorante Fior d' Italia,1,no,,
SB SPH Associates,1,no,,
SB Sacramento County Deputy Sheriffso Association,1,yes,exact,DEPUTY SHERIFFS' ASSOCIATION
SB Sacramento NEXUS,1,no,,
SB San Diego City Schools,1,no,,
SB San Diego County Board of Supervisors,1,no,,
SB San Diego Metropolitan Transit Development Board,1,no,,
SB San Franciscans for California,1,no,,
SB San Mateo Transit District,1,no,,
SB Santa Clara Unified School District,1,no,,
SB School Services of California,1,no,,
SB Self-Help Enterprises,1,no,,
SB Southwestern Cable TV,1,no,,
"SB Supervisor Marian Bergeson, Orange County Supervisor",1,no,,
SB The New World Power Corporation,1,no,,
SB The Ponderosa Telephone Co,1,no,,
SB Tutor Saliba Construction Company,1,no,,
SB Union Sanitary District,1,no,,
"SB United Church of Christ, Southern California Conference",1,no,,
SB VFW Post 1999,1,no,,
SB Ventura County Board of Supervisors,1,no,,
"SB Verdes Estates, Placentia, Poway, Rancho Cucamonga, Redwood City, Riverside, Rolling Hills, Rolling Hills",1,yes,exact,"Verdes Estates, Placentia, Poway, Rancho Cucamonga, Redwood City, Riverside, Rolling Hills, Rolling Hills"
SB WMX Technologies,1,no,,
SB Weinstocks,1,no,,
SB Western Center on Law and Poverty,1,no,,
SB Western Propane Gas Association,1,no,,
SB Western Sunrise Mortgage,1,no,,
SB Wine Institute,1,no,,
SB Zenith Insurance Company,1,no,,
SB-Cal,1,yes,exact,SB-Cal
SB1070 Natural Resources Defense Council,1,no,,
SB10XXXX,1,no,,
"SB150 (Escutia), PageH",1,no,,
SB183,1,no,,
SB1969 (Machado),1,no,,
SB1x Employers (AFSCME),1,no,,
SBAPA,1,yes,exact,SBAPA
SBBIKE+COAST,1,yes,exact,Move Santa Barbara County
SBC Pac Bell,1,yes,exact,SBC Pac Bell
SBC Senior Care Inc,1,yes,exact,SBC Senior Care Inc
"SBCAG, sponsor of this measure",1,no,,
SBCAN,1,yes,exact,SANTA BARBARA COUNTY ACTION NETWORK
SBCBOS,1,no,,
SBCCOG,1,yes,exact,South Bay Cities Council of Governments (SBCCOG)
SBCS,1,yes,exact,SOUTH BAY COMMUNITY SERVICES
SBDC Los Angeles Regional Network,1,yes,exact,SBDC Los Angeles Regional Network
SBE,1,yes,exact,STATE BOARD OF EQUALIZATION
SBM Site Services,1,yes,exact,SBM Site Services
SBX Youth and Family Services,1,yes,exact,Sigma Beta Xi
SBX1 6,1,no,,
SBx4 2 California Attorneys for Criminal Justice,1,no,,
"SC Controls, Inc",1,yes,exact,"SC Controls, Inc"
SC Johnson Wax,1,yes,normalized,S.C. Johnson Wax
SCA X1 1,1,no,,
SCADA,1,yes,exact,Auto Dismantlers Association
SCAN Group,1,yes,exact,SCAN Group
SCAN NATOA,1,yes,exact,SCAN NATOA
SCAN Social HMO,1,yes,exact,SCAN Social HMO
SCAQMD Board,1,yes,exact,SOUTH COAST AIR QUALITY MANAGEMENT DISTRICT
SCAQMD's Legislative Committee,1,yes,exact,SCAQMD's Legislative Committee
"SCB Architecture, Planning, Interior and Urban Design",1,yes,exact,"SCB Architecture, Planning, Interior and Urban Design"
SCBA Inc,1,yes,exact,SCBA Inc
SCCC Rebuilding Lives Foster Family Agency,1,yes,exact,SCCC Rebuilding Lives Foster Family Agency
SCCCC Rebuilding Lives FFA,1,yes,exact,Scccc Rebuilding Lives Ffa
SCCOE and CTA,1,no,,
SCCV,1,yes,exact,SCCV
SCG,1,no,,
SCHIO,1,no,,
SCHIP,1,no,,
SCI,1,no,,
SCI California Funeral Directors,1,yes,exact,CALIFORNIA FUNERAL DIRECTORS ASSOCIATION
SCI Design Group,1,yes,exact,SCI Design Group
SCI Pavement Services,1,yes,exact,"SCI Pavement Services, LP"
"SCI, First for Hunters",1,yes,exact,"SCI, First for Hunters"
SCIL is grateful for the clarity that this bill gives to this issue and for that reason we respectfully ask you and your colleagues,1,no,,
SCIU,1,yes,exact,Service Employees International Union
SCL Tenants Association,1,yes,exact,SCL Tenants Association
"SCN Security Communications Network, Inc",1,yes,exact,"SCN Security Communications Network, Inc"
"SCOP, Laborers International Union of North America",1,yes,exact,"SCOP, Laborers International Union of North America"
SCOPE - Strategic Community Agenda,1,yes,exact,SCOPE
SCOPE Los Angeles (Strategic Concepts in Organizing and Policy Education),1,yes,exact,SCOPE Los Angeles
SCPH And Affiliates Residents' Council (SAARC),1,yes,exact,SCPH And Affiliates Residents' Council (SAARC)
SCPIE Indemnity Company,1,yes,exact,SCPIE Indemnity Company
SCR 39 PEMHCA Advisory Panel,1,yes,exact,PEMHCA Advisory Panel
SCR ACLU,1,yes,exact,American Civil Liberties Union
SCR City of Napa,1,yes,exact,STATE OF CALIFORNIA
"SCR Intervention and Prevention Services for Battered Women, Batterers, Children and the Community",1,yes,exact,"Intervention and Prevention Services for Battered Women, Batterers, Children and the Community"
SCR WEAVE,1,yes,exact,Women Escaping a Violent Environment (WEAVE)
SCRHA would,1,yes,exact,SOUTHERN CALIFORNIA RENTAL HOUSING ASSOCIATION
"SCST Engineering, Inc",1,yes,exact,"SCST Engineering, Inc"
SCV For Parental Rights,1,yes,exact,SCV For Parental Rights
SCWA,1,yes,exact,STATE OF CALIFORNIA
SD Education Association,1,yes,exact,SD Education Association
SD QTPOC Collectivo,1,yes,exact,SD-QTPOC Collectivo
SD3 (parent company of SawStop),1,yes,exact,SD3 (parent company of SawStop)
"SDDA, in conclusion",1,no,,
"SDH Enterprises, Inc. (Fairfield)",1,yes,exact,"SDH Enterprises, Inc. (Fairfield)"
"SDL, Inc",1,yes,exact,"SDL, Inc"
SDMAC,1,yes,exact,SAN DIEGO MILITARY ADVISORY COUNCIL
SDR Company Inc,1,yes,exact,SDR Company Inc
SDR srl,1,yes,exact,SDR srl
SDSS AFDC Characteristics Study,1,no,,
SDSU Circle K,1,yes,exact,SDSU Circle K
SDSU School of Social Work,1,yes,exact,California State University
SDUSD,1,yes,exact,San Diego Unified School District
"SDV ACCI (Service Disabled Veteran - America Consulting and Commodities Brooks Company Industrial Supplies MJ King Insurance Services Like New Pool Cleaning and Repair Service, Inc)",1,no,,
"SDV Services, Inc",1,yes,exact,"SDV Services, Inc"
"SEA - Solar Engineering Applications, Santa Clara",1,yes,exact,Solar Engineering Applications
"SEARS Hearing Aid Center, Long Beach, CA",1,yes,exact,"SEARS Hearing Aid Center, Long Beach, CA"
"SEC. 2. Article 10.7 (commencing with Section 740) is added to Chapter 1 of Division 2 of the Business and Professions Code, to read",1,no,,
SEC. 2. If the Commission on State Mandates determines that this act,1,no,,
"SEC. 2. Section 12805.4 is added to the Government Code, to read",1,no,,
SEC. 2. Section 14019.4 of the Welfare and Institutions Code is amended to read,1,no,,
SEC. 2. Section 175 of the Water Code is amended to read,1,no,,
SEC. 2. Section 480 of the Business and Professions Code is,1,no,,
"SEC. 3. Section 175.1 is added to the Water Code, to read",1,no,,
SECOR International Inc,1,yes,exact,SECOR International Inc
SECTION 1. Section 14018.2 of the Welfare and Institutions Code is,1,no,,
"SECTION 1. Section 66406.7 is added to the Education Code, to read",1,no,,
"SECTION 1. Section 688 is added to the Business and Professions Code, to read",1,no,,
SECTION 1. Section 7.5 of the Business and Professions Code,1,no,,
"SECTION 1. The Legislature finds and declares all of the following: (a) Abuse and misuse of opioids is a serious problem that affects the health, social, and economic welfare of the state. (b) After alcohol, prescription drugs are the most commonly abused substances by Americans over 12 years of age. (c) Almost 2,000,000 people in the United States suffer from substance use disorders related to prescription opioid pain relievers. (d) Nonmedical use of prescription opioid pain relievers can be particularly dangerous when the products are manipulated for snorting or injection or are combined with other drugs. (e) Deaths involving prescription opioid pain relievers represent the largest proportion of drug overdose deaths, greater than the number of overdose deaths involving heroin or cocaine. (f) Driven by the continued surge in drug deaths, life expectancy in the United States dropped for the second year in a row in 2016, resulting in the first consecutive decline in national life expectancy since 1963. (g) Should 2017 also result in a decline in life expectancy as a result of drug deaths, it would be the first three-year period of consecutive life expectancy declines since World War I and the Spanish flu pandemic in 1918",1,no,,
"SECTION 1. The Legislature finds and declares the following: (a) The governmental institutions, statutes, and regulations overseeing the development and management of California's water resources were established in an earlier era, reflecting a different population and different problems. For example: (1) California's water rights system, encompassing both English common law and the doctrine of prior appropriation, dates to statehood in 1850 and recognizes certain ""pueblo rights"" that predate statehood. (A) However, historic tribal water uses are generally not recognized. (B) The ""first in time-first in right"" prior appropriation system memorializes priorities and uses from over 150 years ago. (C) Resolving water use conflicts was relegated to the courts. (D) Rules governing groundwater rights law was also relegated to the courts. (2) Current state agencies overseeing the state's water resources were created in the 1950s and 1960s: (A) The Department of Water Resources was created in 1957 out of the old Department of Public Works to design, build, and operate the State Water Project (SWP). (B) The State Water Resources Control Board was created in 1967, combining the functions of the State Water Quality Control Board, created in 1949, and the State Water Rights Board, created in 1956 and superseding the State Water Commission, which was created in 1913. (C) Regional Water Quality Control Boards were created in 1949 to oversee and enforce the state's pollution abatement program. (3) State laws governing water quality, environmental protection, and statewide water resources planning were also created 50 to 75 years ago: (A) The Porter-Cologne Act was created in 1969 and is the law that governs water quality regulation in California. It had its roots in the Dickey Water Pollution Act that took effect October 1, 1949. The Porter-Cologne Act was established to be a program to protect water quality as well as beneficial uses of water. This act applies to surface water, groundwater, wetlands and both point and nonpoint sources of pollution. (B) Wild & scenic rivers protections were 1st provided by the federal Wild and Scenic Rivers Act in 1968, followed by California's Wild and Scenic Rivers Act in 1972. The purpose of the California law was to preserve certain rivers which possess extraordinary scenic, recreational, fishery, or wildlife values in their free-flowing state. (C) Species protection dates back to the 1950s, when vulnerable species were initially granted full protection. Additionally, in 1970 the state enacted the Endangered Species Act but did not repeal the fully protected species lists. (D) The Burns-Porter Act, which was ratified by voters in November 1960, not only provided financing for the SWP, it also established the process of statewide water resources planning through the California Water Plan. (4) Local agencies supplying and treating water and wastewater arose in a largely haphazard manner, based largely on local need and affluence. The result is that these services are provided by an inconsistent mix of: (A) Municipalities, (B) Counties, (C) Special districts, (D) Tribal governments, (E) Investor owned utilities, (F) Mutual water companies, and (G) Individual land and home owners. (b) Since the establishment of these governmental institutions, statutes, and regulations, there have been many changes. (1) The population has grown tremendously, nearly doubling over the last 50 years. (2) Most, if not all of the available water has been claimed by one or more beneficial users. (3) The climate has and continues to change, with projections for more frequent and more severe and extended periods of drought and flood. (4) Much of the state's water infrastructure is at or beyond its design life. (5) Various voter initiatives have made it more difficult for local agencies to raise water rates and revenues. (6) Many species, especially pelagic organisms in the Sacramento-San Joaquin River Delta, are in serious decline, some verging on extinction. (7) The Water Commission Act of 1913 created the current water rights permitting structure, but kept the fundamental basis of the water rights system in place. (8) The California Constitution was amended to require water be put to a reasonable and beneficial use. (9) In 1983, the California Supreme Court held that the public trust doctrine restricts the amount of water that can be withdrawn from navigable waterways. (10) There is a growing recognition of historic injustices to tribal communities, economically disadvantaged communities, and other marginalized communities. (11) The number of state and local water management agencies and the scope of their responsibilities have grown significantly. (c) As a result, governmental institutions, statutes, and regulations that, if they ever served California well, no longer do. This has led to: (1) Frequent shortages being experienced by and conflicts among agricultural, urban, and environmental water interests. (2) Difficult choices for all sectors between nearly unaffordable investments versus trying to cope without. (3) Significant concerns about the long-term viability of rural communities, agriculture, and food security. (4) Public trust resources across the state being at risk of becoming unsustainable. (5) Both urban and rural small communities not being able to provide safe and affordable water to their residents. (6) Sectors of state's economy experiencing drought triggered recessions. (d) To ensure we have a modern 21st century set of water laws, regulations, and state and local water agencies for the state, it is important that we take a top to bottom review of how we manage our state's water resources, and identify necessary reforms",1,no,,
SEE,1,yes,exact,SOCIAL ECO EDUCATION
SEE COMMENTS 2 THROUGH 4 FOR A DESCRIPTION OF THE MOST RECENT,1,no,,
SEE California (a Chamber sub-group),1,yes,exact,SEE California (a Chamber sub-group)
SEE-LA (Social Eco Education-LA),1,yes,exact,SEE-LA - Sustainable Economic Enterprises of Los Angeles
SEE-LA - Sustainable Economic Enterprises of Los Angeles,1,yes,exact,SEE-LA - Sustainable Economic Enterprises of Los Angeles
"SEIA - Solar Energy Industries Assocaition, Washington, D.C",1,yes,exact,SOLAR ENERGY INDUSTRIES ASSOCIATION
SEIR UFCW,1,yes,exact,SEIR UFCW
"SEIU (Service Employees International Union), Local 660 and Southern Christian Leadership Conference",1,no,,
SEIU - CA State Council,1,yes,exact,Service Employees International Union
SEIU 1021,1,yes,exact,Service Employees International Union
SEIU 434B,1,yes,exact,Service Employees International Union
SEIU 521,1,yes,exact,Service Employees International Union
SEIU 535 (American Federation of Nurses),1,yes,exact,"American Federation of Nurses, SEIU 535 American"
"SEIU 535 (American Federation of Nurses, Social Service Senior Action Network Senior Medi-Benefits Service Employees International Union United Nurses Association Vote Health Coalition women for)",1,no,,
SEIU 721 Joint Council,1,yes,exact,Service Employees International Union
SEIU AFSCME,1,no,,
SEIU Asian Pacific Islanders Caucus,1,yes,exact,Service Employees International Union
"SEIU Bart Chapter, Local 1021",1,yes,exact,Service Employees International Union
SEIU California (SEIU) writes,1,no,,
SEIU California Local 221,1,yes,exact,Service Employees International Union
SEIU California State Council (SEIU California) is the sponsor of this bill and,1,no,,
SEIU California State Council of Service Employees,1,yes,exact,Service Employees International Union
SEIU California and Health Access California,1,yes,exact,"SEIU California, Health Access, and San Mateo County Supervisor"
SEIU California and UNITE HERE are,1,no,,
SEIU California and Western Center on Law and Poverty,1,no,,
SEIU California is the sponsor of this bill and states there is very little public reporting that provides any real insights or data into showing healthcare disparities provided by hospitals and medical groups. Numerous supporters of this bill including the California Black Health Network,1,no,,
"SEIU California, Alameda Labor Council",1,no,,
"SEIU California, a co-sponsor of the bill",1,no,,
"SEIU California, a sponsor of the bill",1,no,,
"SEIU California, on behalf of its court reporter members",1,yes,exact,Service Employees International Union
"SEIU California, sponsor of the bill, states this bill is necessary to help retain skilled and experienced health care workers in California. Now, SEIU California states, many health care workers are reaching a breaking point and considering leaving the profession altogether, which will exacerbate access to care issues in our most vulnerable communities. SEIU California indicates additional pay will keep health care workers on the job and the structure of the bonuses are designed to incentivize workers to stay in their positions throughout 2022",1,no,,
SEIU California. Student Groups: California College Democrats,1,no,,
SEIU California: Steinberg Institute,1,no,,
SEIU Healthcare - Committee of Interns and Residents,1,yes,exact,Service Employees International Union
SEIU International Union,1,yes,exact,Service Employees International Union
SEIU Local 1000 Women's Committee,1,yes,exact,Service Employees International Union
"SEIU Local 1000, CSEA",1,yes,exact,Service Employees International Union
SEIU Local 1021 Service Line Supervisors,1,yes,exact,Service Employees International Union
SEIU Local 1280,1,yes,exact,Service Employees International Union
SEIU Local 1997,1,yes,exact,Service Employees International Union
SEIU Local 521 Retired Chapter,1,yes,exact,Service Employees International Union
SEIU Local 616,1,yes,normalized,Service Employees International Union
SEIU Local 6434 -ULTCW (United Long Term Care Workers),1,yes,exact,Service Employees International Union
SEIU Local 6434-ULTCW,1,yes,exact,Service Employees International Union
"SEIU Local 660, Los Angeles, CA",1,yes,exact,Service Employees International Union
SEIU Local 715 Western Region Latino Caucus,1,yes,exact,Service Employees International Union
SEIU Local 715 and Local 1877,1,yes,exact,Service Employees International Union
SEIU Local 721 - Association of Probation Supervisors of Los Angeles County,1,yes,exact,Service Employees International Union
"SEIU Local 87, sponsor of the bill",1,no,,
SEIU Local United Long Term Care Workers,1,yes,exact,Service Employees International Union
SEIU Long-Term Care Workers' Union (SEIU-ULTCW),1,yes,exact,Service Employees International Union
SEIU Section 32 [Contracting Out],1,no,,
SEIU United Helthcare Workers West,1,yes,exact,Service Employees International Union
SEIU United Service Workers,1,yes,exact,Service Employees International Union
SEIU acknowledges that this bill is an improvement over the administration proposes regarding acute and long term care,1,no,,
SEIU notified the committee of its opposition to AB 2312 because that bill did not address what it,1,no,,
SEIU of United Healthcare Workers - West,1,yes,exact,Service Employees International Union
SEIU writes that this bill ensures that community clinics have the resources and,1,no,,
"SEIU, AFL-CIO",1,yes,exact,Service Employees International Union
"SEIU, AFL-CIO, CA State Council CA Assoc. of Counties (Sponsor) Judicial Council",1,no,,
"SEIU, CSEA, Local 1000",1,yes,exact,Service Employees International Union
"SEIU, California",1,yes,normalized,Service Employees International Union
"SEIU, Local 1021",1,yes,normalized,Service Employees International Union
"SEIU, Local 1280",1,yes,normalized,Service Employees International Union
"SEIU, Local 2028",1,yes,exact,Service Employees International Union
"SEIU, Local 415",1,yes,normalized,Service Employees International Union
"SEIU, Local 434-B",1,yes,normalized,Service Employees International Union
"SEIU, Local 434B",1,yes,normalized,Service Employees International Union
"SEIU, Local 521",1,yes,normalized,Service Employees International Union
"SEIU, Local 535",1,yes,normalized,Service Employees International Union
"SEIU, Local 616",1,yes,exact,Service Employees International Union
"SEIU, Local 660 (Los Angeles)",1,yes,exact,Service Employees International Union
"SEIU, Local 949",1,yes,exact,Service Employees International Union
SEIU- Local 1000,1,yes,normalized,Service Employees International Union
SEIU-USWW (United State Workers West),1,yes,exact,Service Employees International Union
SEIUUnited Domestic Workers/AFSCME Local 3930,1,yes,exact,"American Federation of State, County and Municipal Employees (AFSCME)"
SELMINT,1,no,,
SELPA 1 of Santa Clara County Community Advisory Committee,1,yes,exact,SELPA 1 of Santa Clara County Community Advisory Committee
SELPA Administrators Association,1,yes,exact,Special Education Local Plan Area (SELPA) Administrators
SELPA Administrators Of California,1,yes,exact,Special Education Local Plan Area (SELPA) Administrators
SELPA Facilities Coalition (Antelope Valley and Santa Clarita Valley SELPAs),1,yes,exact,SELPA Facilities Coalition
SELPA of Imperial County,1,yes,exact,SELPA of Imperial County
SEMA Specialty Equipment Market Association,1,yes,exact,SEMA Specialty Equipment Market Association
"SEMI (Semiconductor Equipment and Materials, Inc.)",1,yes,exact,Semiconductor Equipment Manufacturing International (SEMI)
SENATE APPROPRIATIONS SUBCOMMITTEE ON BONDED INDEBTEDNESS AND METHODS OF FINANCING PAGE f,1,no,,
SENATE APPROPRIATIONS SUBCOMMITTEE ON BONDED INDEBTEDNESS AND METHODS OF FINANCING PAGE g,1,no,,
SENATE APPROPRIATIONS SUBCOMMITTEE ON BONDED INDEBTEDNESS AND METHODS OF FINANCING PAGE h,1,no,,
SENATE APPROPRIATIONS SUBCOMMITTEE ON BONDED INDEBTEDNESS AND METHODS OF FINANCING PAGE i,1,no,,
SENATE APPROPRIATIONS SUBCOMMITTEE ON BONDED INDEBTEDNESS AND METHODS OF FINANCING PAGE j,1,no,,
SENATE APROPRIATIONS SUBCOMMITTEE ON BONDED INDEBTEDNESS AND METHODS OF FINANCING PAGE c,1,no,,
"SENATE FINANCE, INVESTMENT AND INTERNATIONAL TRADE",1,yes,exact,"SENATE FINANCE, INVESTMENT AND INTERNATIONAL TRADE"
"SENATE FINANCE, INVESTMENT, AND INTERNATIONAL TRADE",1,yes,normalized,"SENATE FINANCE, INVESTMENT AND INTERNATIONAL TRADE"
SENATE RULES COMMITTEE: LC,1,yes,exact,SENATE RULES COMMITTEE: LC
SENATE RULES COMMITTEE: SK,1,yes,exact,SENATE RULES COMMITTEE: SK
SENCARE Inc,1,yes,exact,SENCARE Inc
SENT 12/20/96 at 11:40a,1,no,,
SEPPIC,1,no,,
"SER-Jobs for Progress, Inc",1,yes,exact,"SER-Jobs for Progress, Inc"
"SES - Solar Electric Specialties Company, Santa Barbara",1,yes,exact,"SES - Solar Electric Specialties Company, Santa Barbara"
"SESOL, Inc",1,yes,exact,"SESOL, Inc"
SETCO,1,yes,exact,Setco
SETI Institute,1,yes,exact,SETI Institute
SEUI Local 1000,1,yes,exact,Service Employees International Union
SEVEN Investment Inc,1,yes,exact,SEVEN Investment Inc
SEWD,1,no,,
SEYEN Investment Inc,1,yes,exact,SEVEN Investment Inc
SF Bay Area Physicians for Reproductive Freedom,1,yes,exact,SF Bay Area Physicians for Reproductive Freedom
SF Bicycle Coalition,1,yes,exact,San Francisco Bicycle Coalition
SF Black & Jewish Unity Coalition,1,yes,exact,Sf Black and Jewish Unity Coalition
SF CITI,1,yes,exact,SF Citi
SF Chamber,1,yes,exact,SF Chamber
SF Citi,1,yes,exact,SF Citi
SF Conservation Corps,1,yes,exact,San Francisco Conservation Corps
SF Day Labor Program & Women's Collective,1,yes,exact,DOLORES STREET COMMUNITY SERVICES
SF DogPAC,1,yes,exact,SF DogPAC
SF Easter Neighborhoods Democratic Club,1,yes,exact,CALIFORNIA DEMOCRATIC PARTY
SF Floral Exchange,1,yes,exact,SF Floral Exchange
SF Prevention Coalition,1,yes,exact,SF Prevention Coalition
SF Public Bank Coalition,1,yes,exact,SF Public Bank Coalition
SF Samoa and Samoa Parents in Action,1,yes,exact,SF Samoa and Samoa Parents in Action
SF Sequoias CALCRA Chapter,1,yes,exact,SF Sequoias CALCRA Chapter
SF Tenants Union,1,yes,exact,SF Tenants Union
SF Women Lawyers' Alliance,1,yes,exact,Women Lawyers' Alliance
SF Youth Commission,1,yes,exact,SF Youth Commission
SF- Lesbian & Gay Immigration & Asylum Rights Task Force,1,yes,exact,SF- Lesbian & Gay Immigration & Asylum Rights Task Force
SF-Marin Food Book,1,yes,exact,SF-MARIN FOOD BANK
SF.CITI,1,yes,exact,San Francisco Citizens Initiative for Technology and Innovation (sf.citi)
SFA LLC,1,yes,exact,SFA LLC
SFAF,1,yes,exact,SAN FRANCISCO AIDS FOUNDATION
SFCRA,1,no,,
SFFJP,1,no,,
SFMade,1,yes,exact,SFMADE
SFOPPIA,1,no,,
SFPARKS,1,yes,exact,SFParks
SFPUC,1,yes,exact,SAN FRANCISCO PUBLIC UTILITIES COMMISSION
SFParks,1,yes,exact,SFParks
SFR Short Sales & Foreclosure Resource,1,yes,exact,SFR Short Sales & Foreclosure Resource
SFUSD Board of Education,1,yes,exact,SAN FRANCISCO UNIFIED SCHOOL DISTRICT
SFUSD Science Department,1,yes,exact,SFUSD Science Department
SFWorks,1,yes,exact,SF Works
SGK,1,no,,
"SGR Health, Ltd, Berkeley",1,yes,exact,"SGR Health, Ltd, Berkeley"
SGV Casita,1,yes,exact,SGV Casita
SGV Public Schools Credit Union,1,yes,exact,SGV Public Schools Credit Union
SHAC,1,no,,
SHAMAYIM: Jewish Animal AdvocacyS,1,yes,exact,SHAMAYIM: Jewish Animal AdvocacyS
SHAPE America,1,yes,exact,SHAPE America
"SHARANYA: The Maa Batakali Cultural Mission, Inc",1,yes,exact,"SHARANYA: The Maa Batakali Cultural Mission, Inc"
SHARE Southern California,1,yes,exact,SHARE Southern California
SHARP Health Care,1,yes,exact,Sharp Health Care
SHARP Health Plan,1,yes,exact,Sharp Health Plan
SHARP Hospice Care,1,yes,exact,Sharp Hospice Care
SHASTA COMMUNITY HEALTH CENTER,1,yes,exact,"Shasta Community Health Center, Redding"
"SHASTA Fire Protection, Inc",1,yes,exact,"SHASTA Fire Protection, Inc"
SHHAA Sustainable Holistic Healing Arts & Activations,1,yes,exact,SHHAA Sustainable Holistic Healing Arts & Activations
SHIELDS for families,1,yes,exact,Shields For Families
SHIELDs for Families,1,yes,exact,Shields For Families
SHPP,1,no,,
SHRM of Tulare & Kings County,1,yes,exact,SOCIETY FOR HUMAN RESOURCE MANAGEMENT
"SIA Tech, California",1,yes,normalized,SIA Tech - School for Integrated Academics and Technologies
SIAT/Guajome Park Academy,1,yes,exact,SIAT/Guajome Park Academy
SIC Productions Inc,1,yes,exact,Sic Productions Inc
SIERRA NEVADA ALLIANCE,1,yes,exact,SIERRA NEVADA ALLIANCE
SIEU California,1,yes,exact,Service Employees International Union
SIGNIFICANT CONCERNS Agricultural Council of California,1,no,,
SIMMS,1,yes,exact,SIMMS
SIMS Recycling Solutions,1,yes,exact,Sims Recycling
"SIREN (Services, Immigrant Rights and Education Network)",1,yes,normalized,"Services, Immigrant Rights & Education Network (SIREN)"
SIREN Services,1,yes,exact,"Services, Immigrant Rights & Education Network (SIREN)"
SISTAHFRIENDS,1,yes,exact,Sistahfriends
SJ Denham Chrysler Jeep Fiat,1,yes,exact,SJ Denham Chrysler Jeep Fiat
SJ Denham Collision Center,1,yes,exact,SJ Denham Collision Center
SJ Denham Mount Shasta Chrysler Jeep Fiat,1,yes,exact,SJ Denham Mount Shasta Chrysler Jeep Fiat
SJ-Silicon Valley Chamber of Commerce,1,yes,exact,UNITED STATES CHAMBER OF COMMERCE
SJA Landscape Architecture,1,yes,exact,SJA Landscape Architecture
SJI,1,no,,
SJR 1XX,1,no,,
"SJR Cotabato Association, USA",1,yes,exact,"Cotabato Association, USA"
SJVUAPCD,1,yes,exact,SAN JOAQUIN VALLEY AIR POLLUTION CONTROL DISTRICT
SK Management Company,1,yes,exact,SK Management Company
SK Simple Solutions,1,yes,exact,Sk Simple Solutions
SKANSKA,1,yes,exact,Skanska
"SKC America, Inc",1,yes,exact,"SKC America, Inc"
SKID ROW HOUSING TRUST,1,yes,exact,SKID ROW HOUSING TRUST
SKOLAR,1,yes,exact,SKOLAR
"SKS Enterprises, Inc",1,yes,exact,"SKS Enterprises, Inc"
SKS Management LLC,1,yes,exact,SKS Management
"SKS, Inc",1,yes,exact,"SKS, Inc"
SLATE Art Consulting,1,yes,exact,Slate Art LLC dba Slate Art Consulting
SLATE Contemporary Galley and Art Consulting,1,yes,exact,SLATE Contemporary Galley and Art Consulting
SLATE Z,1,yes,exact,SLATE Z
SLAVIC-AMERICAN CHAMBER OF COMMERCE,1,yes,exact,UNITED STATES CHAMBER OF COMMERCE
SLO Clean Energy,1,yes,exact,SLO Clean Energy
SLO Clean Water Action,1,yes,exact,SLO Clean Water Action
SLO County Citizens' Climate Education,1,yes,exact,Citizens' Climate Education
SLO FOAM FREE,1,yes,exact,SLO FOAM FREE
SLO Hep C Project in San Luis Obispo,1,yes,exact,SLO Hep C Project
SLOCO YIMBY,1,yes,exact,YIMBY
SLOCO Yimby,1,yes,exact,YIMBY
SLOLionsEye.org,1,yes,exact,Slolionseye.org
SLR Architects,1,yes,exact,SLR Architects
SM & CS = State Mediation and Conciliation Service,1,yes,exact,State Mediation and Conciliation Service
SMA America,1,yes,exact,SMA America
"SMACNA, CA",1,yes,exact,CA Association of Sheet Metal and Air Conditioning Contractors
SMAP Manufacturing,1,yes,exact,SMAP Manufacturing
SMART - TD,1,yes,exact,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
SMART - Transportation Division California State Legislative Board,1,yes,exact,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
"SMART - Transportation Division, CA State Legislative Board",1,yes,exact,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
"SMART - Transportation Division, California State Legislative Board",1,yes,normalized,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
SMART - Western States Council,1,yes,exact,SMART - Western States Council
SMART California State Legislative Board,1,yes,exact,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
SMART OAKLAND,1,yes,exact,SmartOakland
SMART Transportation Division-CA State Safety and Legislative Board,1,yes,exact,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
"SMART, Sheet Metal Workers' Local Union 104",1,yes,exact,Sheet Metal Workers' Local Union No. 104 (Smart)
"SMART, Sheet Metal Workers' Local Union No. 104",1,yes,exact,Sheet Metal Workers' Local Union No. 104 (Smart)
SMART-Transportation Division Local 0023,1,yes,exact,"International Association of Sheet Metal, Air, Rail and Transportation Workers (SMART)"
SMARTER Balanced,1,yes,exact,SMARTER Balanced Consortium
SMARTER Balanced Assessment,1,yes,exact,SMARTER Balanced Consortium
SMARTER Balanced Consortium,1,yes,exact,SMARTER Balanced Consortium
SME,1,yes,exact,Sony Music Entertainment
"SMSSI of California, Inc",1,yes,exact,"SMSSI of California, Inc"
SMVS NewarkCA LLC,1,yes,exact,SMVS Newark CA LLC
SNAP (Spay Neuter Action Project),1,yes,exact,SNAP (Spay Neuter Action Project)
