extracted_org	num_fragments
Association of Builders and Contractors, Western Electrical Contractors, Plumbing-Heating-Cooling	1
Californians for Affordable Health Reform and Unified Medical Group Association (UMGA)	1
Los Angeles Department of Mental Health	1
ports of Stockton and West Sacramento	1
Postdoctoral Scholars Association	1
PPL	1
senior advocates	1
California Teachers Association and the California Catholic Conference	1
insurer associations and insurers	1
recipients of Tire Program grants	1
Texas Supreme Court	1
San Francisco State University (SFSU) Clinical Lab Science Program	1
School Breakfast Program	1
Building industry interests	1
seat manufacturers	1
three large IOUs	1
Toxic Information Clearinghouse	1
trade group of SNFs	1
Treasurer	1
UEBFT	1
United Domestic Workers (UDW) of America (AFSCME Local 3930)	1
Women's Resource Center of California State University, Sacramento	1
groups concerned about loosening alcohol restrictions	1
Pew Charitable Trusts' Public Safety Performance Project	1
Health care providers and health consumer advocates	1
Health plan trade groups	1
CP	1
SFPDO	1
These opponents	1
United Domestic	1
SLOHTF	1
Other tenants	1
The religious-based schools	1
Bay Area Family of Funds and Genesis LA	1
Open Enrollment Act	1
PTBC	1
These companies	1
these groups	1
these insurers	1
These parties	1
LA Airport Police	1
these physicians	1
These proponents	1
These underserved students and families	1
violence prevention professionals	1
their organization	1
OSA	1
California Children's Services Program	1
CCAC	1
California online notaries	1
SHPP	1
crime labs	1
TNC Access for All Program	1
federal Election Assistance Commission	1
UR committee	1
Victims' Restitution Fund	1
California Innocence	1
Pesticide Education Group-Marin	1
FOREST and Wildfire Prevention Fund	1
Some opponents	1
FEMA	1
to Stop Outside Dumping	1
Blood Centers of California (BCC), as well as the American Red Cross	1
the opponents	1
Multiple Habitat Conservation Plan	1
Special Fund for Economic Uncertainties	1
trade associations for health care services plans	1
Department of Education (SDE)	1
Transit operators and advocates	1
BART and San Francisco Municipal Transportation Agency	1
Transportation Commission (CTC)	1
trappers	1
State mental hospitals	1
Salinas Valley State Prison	1
National Alliance for Mental	1
numerous conservation organizations	1
U.S. Department of Education	1
John Muir Middle School	1
Two cities	1
two cities	1
two coalitions	1
two groups	1
two independent psychological or psychiatric professionals	1
the Mayo Clinic and the University of Iowa	1
two-thirds of Californians	1
U.S. Army, Marine Corps., Navy and Air Force	1
UC and the Academic Senate	1
Firefighters	1
the Committee	1
ESTA	1
Labor Agency	1
UnitedHealth/OptumRx	1
California Association or Realtors	1
variety of local government organizations, water agencies and agricultural groups	1
Various affordable housing organizations	1
Various beer producers and distributors	1
Various counties	1
Various employer groups	1
Various internet service providers	1
various labor groups	1
Various labor unions	1
independent physicians	1
various major league sports teams and affiliated entities	1
Haven Human Society and the Inland Valley Humane Society	1
various mental health client groups	1
Various mining companies	1
Various Native American tribes	1
Various non-profit housing agencies	1
various nonprofit organizations and organizations representing nonprofits	1
Various off-road vehicle organizations	1
various organizations advocating for increased public transparency and government oversight	1
various organizations representing police officers	1
Various other energy groups	1
Police Activities Leagues and police departments	1
Various other newspapers	1
Various patients and civil rights groups	1
various private and public entities based in Kern County	1
Various private investigator associations	1
Various professional appraiser associations	1
Various professional engineers	1
Various property tax consulting firms	1
Various school districts	1
Various state agencies	1
Samuel Merritt College, Occupational Therapy Department	1
Various supporters	1
Various tax practitioners and groups	1
Various veterans groups	1
various Westwood community merchants	1
vast majority of voters in the referendum on Proposition 31	1
VBG	1
vehicle dealers	1
Vehicle Institute	1
veteran organizations	1
veterans agencies and organizations	1
veterans groups	1
Chamber of Commerce of U.S.	1
Department of State	1
Chatham County Board of Tax Assessors and Atlantic Resources	1
a number of ethanol producers and related industrial groups	1
water agencies and agricultural organizations in the San Joaquin Valley	1
Water agencies	1
Water Agency	1
Calleguas Municipal Water Association	1
Western Municipal Water Committee	1
San Francisco Public Utilities Water District	1
Whispering Palms Water District	1
Water Service Company	1
Water Solutions Now!	1
Water Solutions Now	1
WAVE	1
national accounting firm clients	1
We Care	1
Drop the 'A' Word coalition	1
child welfare advocates	1
scores of wineries	1
APPS	1
Welfare Fund	1
American Society of Civil Engineers and environmental and community groups	1
Western Center on Law and Poverty, Justice in Aging, and Disability Rights California	1
a number of health plans	1
Senate Budget	1
air pollution control officers from all 35 local air quality districts throughout California	1
SDSU	1
Cal-ICH	1
the open carry movement	1
California Hospital Associations (CHA)	1
PJI-CCP	1
UC and USC	1
ACT	1
CSRLF Program	1
Teachers' Retirement Fund	1
these associations	1
Whittier City Council	1
WIC retail food vendors	1
CCF	1
Committee on City Accounting Procedures	1
CSI program	1
L.A. Superior Court	1
California's Fourth Circuit Court of Appeals	1
National Association for Rare Disorders (NARD)	1
AHI	1
Workers of America AFSCME Local 3930/AFL-CIO	1
WECA and PHCC	1
AIC	1
Numerous animal welfare groups	1
Numerous businesses and local chambers of commerce	1
numerous distillery businesses	1
Numerous insurers and business groups	1
Ombudsmen	1
One Stop Centers	1
One Stop Career Centers	1
drug manufacturers and the Chamber of Commerce	1
TRC	1
a coalition of agricultural groups	1
California Solar and Storage Association (CALSSA)	1
the Western	1
other associations representing the hotel and related hospitality industries	1
TSCN	1
SNPAOs	1
Probation departments and officers	1
RFK Plan	1
seniors and groups advocating on behalf of low-income consumers	1
several associations representing school districts	1
several organizations	1
Several organizations	1
several paper and plastic bag manufacturers and some local governments	1
Southern California utility companies	1
CSAM	1
Tribes and local governments	1
Tyndall	1
University	1
USOPC	1
Various organizations	1
We the undersigned	1
WOEIP	1
Senate Energy, Utilities and Communications	1
Assembly Arts, Entertainment, Sports, Tourism and Internet	1
Assembly Arts, Entertainment, Sports, Tourism and Internet Media Committee	1
Painting, Inc	1
Advocates	1
Project	1
Andrew Pasmant, City Manager	1
Mystery Shopping Providers Association	1
the solvents industry	1
DHS and MRMIB	1
California State Auditor and State Controller	1
Board of Trustees	1
County health departments	1
COPIA - The American Center for Wine	1
US Governmental Accountability Office	1
Advanced Industrial Services	1
CalRx Naloxone Access Initiative	1
California Reproductive Justice & Freedom Fund	1
Outdoor Sportsmen's Coalition of California (OSCC) and Safari Club International (SCI)	1
California Tax Service Center (CTSC)	1
Western Center on Law & Poverty and the California Rural	1
The CA	1
Assembly	1
animal rights and antihunting groups	1
The Peace Chiefs Association	1
Assembly Budget	1
groups previously in opposition	1
San Francisco Animal Control	1
Several scholars	1
DMH Sex Offender Commitment Program	1
Cal-YOR program	1
Unclaimed Property Law (UPL)	1
Dolly Parton's Imagination Library	1
Orange County Electrical Training	1
AASCB	1
