Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
Mayor Carolyn V. Cavecche	CITY OF ORANGE	city
Mayor Casillas Salas	CITY OF CHULA VISTA	city
Mayor Cecilia Valdez	City of San Pablo	city
Mayor Cheryl Cox	CITY OF CHULA VISTA	city
Mayor Chi Charlie Nguyen	City of Westminster	city
Mayor Christopher L. Cabaldon	City of West Sacramento	city
Mayor Chuck Reed	City of San Jose	city
Mayor Claude A. "Bud" Lewis	CITY OF CARLSBAD	city
Mayor Dan Bilbrey	CITY OF TRACY	city
Mayor Daniel Helix	CITY OF CONCORD	city
Mayor Daniel Lurie	CITY AND COUNTY OF SAN FRANCISCO	city
Mayor Daniel T. Parra	City of Fowler	city
Mayor David Potter	City of Carmel-by-the-sea	city
Mayor Debora Fudge	City of Windsor	city
Mayor Dennis Donohue	CITY OF SALINAS	city
Mayor Devin T. Murphy	CITY OF PINOLE	city
Mayor Dianne Martinez	CITY OF EMERYVILLE	city
Mayor Dick Riddell	CITY OF YUCAIPA	city
Mayor Dr. Jayna Karpinski-Costa	CITY OF CITRUS HEIGHTS	city
Mayor Edwin M. Lee	CITY AND COUNTY OF SAN FRANCISCO	city
Mayor Edwin M. Lee, City and County of San Francisco (prior version)	CITY AND COUNTY OF SAN FRANCISCO	city
Mayor Emily Reilly	CITY OF SANTA CRUZ	city
Mayor Eshlema	CITY OF FONTANA	city
Mayor Flory	CITY OF FULLERTON	city
Mayor G. Dana Hobart	CITY OF RANCHO MIRAGE	city
Mayor Gary Davis	CITY OF ELK GROVE	city
Mayor Gary Monahan	CITY OF COSTA MESA	city
Mayor Gary O. Phillips	CITY OF SAN RAFAEL	city
Mayor Grace Vargas	City of Rialto	city
Mayor H. Manuel Ortiz	CITY OF IRWINDALE	city
Mayor Hank Stratford	CITY OF CLAYTON	city
Mayor Harmony Groves	CITY OF ARCATA	city
Mayor Harry S. Sidhu	CITY OF ANAHEIM	city
Mayor Ian N. Oglesby	CITY OF SEASIDE	city
Mayor Mary Teresa Sessom	City of Lemon Grove	city of lemon grove
Mayor of Norwalk	City of Norwalk	city of norwalk
Mayor of San Diego, Jerry Sanders	CITY OF SAN DIEGO	city govt
Mayor of San Jacinto	San Jacinto City	city govt
Mayor of Sand City	City of Sand	city govt
Mayor of the City of Ceres	CITY OF CERES	city govt
Mayor Oscar Rios	CITY OF WATSONVILLE	city govt
Mayor Pat Gilbreath	CITY OF REDLANDS	city govt
Mayor Patricia Lock Dawson	CITY OF RIVERSIDE	city govt
Mayor Paul M. Eaton	CITY OF MONTCLAIR	city govt
Mayor Paul S. Leon	CITY OF ONTARIO	city govt
Mayor Pauline Cutter	CITY OF SAN LEANDRO	city govt
Mayor Ric Loya	CITY OF HUNTINGTON PARK	city govt
Mayor Richard S. Kelly	CITY OF PALM DESERT	city govt
Mayor Rick Ramirez	City of Norwalk	city govt
Mayor Robert C. Harbicht	CITY OF ARCADIA	city govt
Mayor Robert Taylor	CITY OF BRENTWOOD	city govt
Mayor Ron Morrison	CITY OF NATIONAL CITY	city govt
Mayor Ron Rowlett	CITY OF VACAVILLE	city govt
Mayor Ron V. Dullums	CITY OF OAKLAND	city govt
Mayor Roosevelt F. Dorn	CITY OF INGLEWOOD	city govt
Mayor Rosemary M. Corbin	CITY OF RICHMOND	city govt
Mayor Sam Hindi, Foster City	Foster City	city govt
Mayor Santos Garcia	City of Madera	city govt
Mayor Sarah Aquino	CITY OF FOLSOM	city govt
Mayor Scott Donahue	CITY OF EMERYVILLE	city govt
Mayor Scott Donaldson	City of Del Rey Oaks	city govt
Mayor Shirley Dean	CITY OF BERKELEY	city govt
Mayor Shirley Horton	CITY OF CHULA VISTA	city govt
Mayor Siri Pulipati	CITY OF RANCHO CORDOVA	city govt
Mayor Stephen Cassidy	CITY OF SAN LEANDRO	city govt
Mayor Steven R. McKee	CITY OF LATHROP	city govt
Mayor Sue Himmelrich	CITY OF SANTA MONICA	city govt
Mayor Sukhee Kang	CITY OF IRVINE	city govt
Mayor Susan Ornelas	City of Arcata	city
Mayor Ted Winterer	City of Santa Monica	city
Mayor Teresa Barrett	City of Petaluma	city
Mayor Timothy M. Flaherty	City of Pleasant Hill	city
Mayor Todd Campbell	City of Burbank	city
Mayor Tom Smisek	City of Coronado	city
Mayor Tom Tait	City of Anaheim	city
Mayor Tyller Williamson	City of Monterey	city
Mayor Victor P. Lopez	City of Orange Cove	city
Mayor Will Rogers	City of Burbank	city
Mayor William Alexander	City of Rancho Cucamonga	city
Mayor William R. "Rusty" Bailey, III	City of Riverside	city
Mayor Willie Brown	City of San Francisco	city
Mayor Yvonne Parks	City of Desert Hot Springs	city
Mayor, Todd Campbell	City of Burbank	city
MBI Group, Inc. (40 property owners)	MBI Group, Inc.	business
MCIWorldCom - co-sponsor	MCI Worldcom	telecom
McKay Photography (prior version)	McKay Photography	business
McKernan Package Clearing House	McKernan Package	business
Media Guild of The West, News Guild-CWA Local 39213	Media Guild of the West	Media Guild of the West
Media Guild of The West, NewsGuild-CWA Local 39213	Media Guild of the West	Media Guild of the West
Media Guild of the West, NewsGuild-CWA Local 39213	Media Guild of the West	Media Guild of the West
Media Guild of the West, Newsguild-CWA Local 39213	Media Guild of the West	Media Guild of the West
Media Guild of The West, Newsguild-CWA Local 39213	Media Guild of the West	Media Guild of the West
Metco Fourslide Manufacturing Incorporated (prior version)	Metco Fourslide Manufacturing Incorporated	business
Mexican-American Legal Defense and Ed Fund [Maldef	MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND	MALDEF
Michael Carona, Sheriff, Orange County	Orange County Sheriff's Department	Orange County Sheriff
Michael D. Bradbury, District Attorney of Ventura County	District Attorney of Ventura County	Ventura County DA
Michael Shimansky, Mayor, Town of Danville (February 23, 2007 version)	TOWN OF DANVILLE	city
Michael Touhey, Mayor	CITY OF WEST COVINA	city
Michael Tubbs, Mayor	CITY OF STOCKTON	city
Mickey Cafagna, Mayor	CITY OF POWAY	city
Mid-Peninsula Open Space District	MID-PENINSULA REGIONAL OPEN SPACE DISTRICT	open space
Migrant Education - Region XI, Pajaro Valley Unified School District	Migrant Education - Regional XI, Pajaro Valley Unified	education
Military Officers Association of California, California Council of Chapters	Military Officers Association of America	MOAA
Milpitas Firefighters IAFF Local 1699	Milpitas Firefighters	Milpitas Firefighters
Milpitas Firefighters Local 1699	Milpitas Firefighters	Milpitas Firefighters
Mindful Change Consulting writes in strong	Mindful Change Consulting	Mindful Change Consulting
MMLG, LLC	MMLG	mmlg
Modesto/Stanislaus Branch of the NAACP	National Association for the Advancement of Colored People	NAACP
Modoc District Fair (34 DAA)	Modoc District Fair	Modoc fair
Montebello Unified School District: GOVERNOR'S VETO MESSAGE	Montebello Unified School District	Montebello USD
Monterey County District Attorney Jeannine M. Pacioni	Monterey County District Attorney	Monterey County DA
Monterey District Attorney	Monterey County District Attorney	Monterey County DA
Mother's Against Sexual Abuse (for bill as introduced)	MOTHERS AGAINST SEXUAL ABUSE	Mothers Against Sexual Abuse
Motion Picture Association of America (California	MOTION PICTURE ASSOCIATION OF AMERICA	MPAA
Motion Picture Association of America (California Group)	MOTION PICTURE ASSOCIATION OF AMERICA	MPAA
Motion Picture Association of America California Group (Prior version of bill)	MOTION PICTURE ASSOCIATION OF AMERICA	MPAA
Movement Generation Justice and	Movement Generation Justice & Ecology Project	Movement Generation
Mpa - the Association of Magazine Media	MPA the Association of Magazine Media	MPA Magazine Media
Murrieta/Wildomar Chamber	Murrieta/Wildomar Chamber of Commerce	Murrieta Wildomar Chamber
NAACP - California	National Association for the Advancement of Colored People (NAACP)	NAACP
NAACP, California	National Association for the Advancement of Colored People (NAACP)	NAACP
NAMI California (committee analysis)	NAMI California	NAMI
NAMI California (National Association of Mental Illness - California)	NAMI California	NAMI
Nami-California	NAMI California	NAMI California
Nami-california	NAMI California	NAMI California
NARAL Pro- Choice California	National Abortion Rights Action League	NARAL Pro-Choice CA
NARAL, Pro-Choice California	National Abortion Rights Action League	NARAL
National Alliance for the Mentally Ill (NAMI), California	NATIONAL ALLIANCE ON MENTAL ILLNESS	NAMI
National Alliance for the Mentally Ill California (NAMI California)	NATIONAL ALLIANCE ON MENTAL ILLNESS	NAMI
National Alliance on Mental Illness, California Chapter	NATIONAL ALLIANCE ON MENTAL ILLNESS	NAMI
National Alliance on Mental Illness- California	NATIONAL ALLIANCE ON MENTAL ILLNESS	NAMI
National Asian Pacific American Women's Forum, California Chapter	NATIONAL ASIAN PACIFIC AMERICAN WOMEN'S FORUM	NAPAWF
National Assn. of Social Workers, CA Chapter	Association of Social Workers-California Chapter	NASW-CA
National Association for Social Workers - California Chapter	Association of Social Workers-California Chapter	NASW-CA
National Association of Independent Insurers Personal Insurance Federation of California	NATIONAL ASSOCIATION OF INDEPENDENT INSURERS	NAII
National Association of Industrial Office Parks of California -- the Commercial Real Estate Development Association	National Association of Industrial and Office Properties	NAIOP
National Association of Industrial Office Parks of California, the Commercial Real Estate Development Association	National Association of Industrial and Office Properties	NAIOP
National Association of Insurance and Financial Advisors of SB 938 (Dunn), California	National Association of Insurance and Financial Advisors of California (NAIFA-CA)	NAIFA
National Association of Social Workers California Chapter writes	National Association of Social Workers - California Chapter	NASW-CA
National Autism Association of California	National Autism Association	NAA
National Council of La Raza: GOVERNOR'S VETO MESSAGE	NATIONAL COUNCIL OF LA RAZA	La Raza
National Electrical Contractors Association (California chapter)	California Chapter of the National Electrical Contractors Association	NECA
National Electrical Contractors Association, California	NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION	NECA
National Federation of Independent Business --California	NATIONAL FEDERATION OF INDEPENDENT BUSINESS	NFIB
National Kidney Foundation (Northern California)	National Kidney Foundation	Kidney Foundation
National Motorists Association - California State Chapter	National Motorists Association	Motorists
National Multiple Sclerosis Society California	NATIONAL MULTIPLE SCLEROSIS SOCIETY	MS Society
National Multiple Sclerosis Society, California	NATIONAL MULTIPLE SCLEROSIS SOCIETY	MS Society
National Multiple Sclerosis Society- California Action Network	NATIONAL MULTIPLE SCLEROSIS SOCIETY	MS Society
National Organization for Women (California Chapter)	NATIONAL ORGANIZATION FOR WOMEN	NOW
National Organization for Women California	NATIONAL ORGANIZATION FOR WOMEN	NOW
National Physicians Alliance California	National Physicians Alliance	Physicians Alliance
National SB 1696 (Kopp) Paint & Coatings Association	National Paint and Coatings Association	Paint Coatings
National Senior Citizens Law Center (committee analysis)	NATIONAL SENIOR CITIZENS LAW CENTER	Senior Citizens Law
National Ski Areas Association and numerous California ski resorts	NATIONAL SKI AREAS ASSOCIATION	Ski Areas
National Wildlife Federation (California)	National Wildlife Federation	Wildlife Federation
Natural Resource Defense Council, in support of the bill	NATURAL RESOURCE DEFENSE COUNCIL	NRDC
Natural Resources Defense Council and	NATURAL RESOURCES DEFENSE COUNCIL	NRDC
Network Planned Parenthood	Planned Parenthood Affiliates of California	planned-parenthood
Network Planned Parenthood Affiliates	Planned Parenthood Affiliates of California	planned-parenthood
NEUTRAL California State Association of Counties (CSAC)	CALIFORNIA STATE ASSOCIATION OF COUNTIES	csac
Nevada County Fairgrounds (17th DAA)	Nevada County Fairgrounds	Nevada County Fairgrounds
Nevada County Sheriffs Office	Nevada County Sheriff's Office	Nevada County Sheriff
New SB 439 (Simitian) Enterprise Association	Enterprise Association	Enterprise Association
Newport Harbor Area Chamber of Commmerce	Newport Harbor Area Chamber of Commerce	Newport Harbor Chamber
NextgGen California	NextGen California	NextGen California
Nfib California	NATIONAL FEDERATION OF INDEPENDENT BUSINESS	NFIB
NO. MONTEREY COUNTY UNIFIED 5,451	North Monterey County Unified School District	school district
Norco Firefighters Local 3806	Norco Firefighters	Norco Firefighters
North Lake Tahoe Chamber Commerce	North Lake Tahoe Chamber/CVB/Resort Association	N Lake Tahoe Chamber
Northern California Chamber Alliance	CalChambers	CalChamber
Northern California Marine Association (committee analysis)	Northern CA Marine Association	NCMA
Northern California Power Agency writes	NORTHERN CALIFORNIA POWER AGENCY	NCPA
Northern Telecom, Inc. (committee analysis)	Northern Telecom Inc	Northern Telecom
NOVATO UNIFIED 7,616	Novato Unified School District	school district
American College of Emergency Physicians- California Chapter	AMERICAN COLLEGE OF EMERGENCY PHYSICIANS	american college of emergency physicians
American College of Obstetricians and Gynecologists, District IX, CA	American College of Obstetricians and Gynecologists - District IX	american college of obstetricians and gynecologists district ix
