originalname,editedname,relationship_type
ALTAMED HEALTH SERVICES,ALTAMED HEALTH SERVICES,canonical
ALTERNATIVE FAMILY SERVICES,ALTERNATIVE FAMILY SERVICES,canonical
ALZHEIMER'S ASSOCIATION,ALZHEIMER'S ASSOCIATION,canonical
AMADOR COUNTY ASSOCIATION OF REALTORS,AMADOR COUNTY ASSOCIATION OF REALTORS,canonical
AMADOR LAFCO,AMADOR LAFCO,canonical
AMADOR-TUOLUMNE COMMUNITY ACTION AGENCY,AMADOR-TUOLUMNE COMMUNITY ACTION AGENCY,canonical
AMCAL,AMCAL,canonical
AMCAL MULTI-HOUSING,AMCAL,alternate_spelling
AMERICA'S HEALTH INSURANCE PLANS,AMERICA'S HEALTH INSURANCE PLANS,canonical
AMERICAN ACADEMY OF PEDIATRICS,AMERICAN ACADEMY OF PEDIATRICS,canonical
"AMERICAN ACADEMY OF PEDIATRICS, CA",AMERICAN ACADEMY OF PEDIATRICS,alternate_spelling
"AMERICAN ACADEMY OF PEDIATRICS, CALIFORNIA",AMERICAN ACADEMY OF PEDIATRICS,alternate_spelling
AMERICAN ASSOCIATION OF RETIRED PERSONS,AARP,alternate_spelling
AMERICAN ATHEISTS,AMERICAN ATHEISTS,canonical
AMERICAN CANCER SOCIETY CANCER ACTION NETWORK,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK,canonical
AMERICAN CHEMISTRY COUNCIL,AMERICAN CHEMISTRY COUNCIL,canonical
AMERICAN CIVIL LIBERTIES OF CALIFORNIA,ACLU CALIFORNIA,alternate_spelling
AMERICAN CIVIL LIBERTIES UNION,ACLU CALIFORNIA,alternate_spelling
AMERICAN CIVIL LIBERTIES UNION CALIFORNIA ACTION,ACLU CALIFORNIA,alternate_spelling
AMERICAN CIVIL LIBERTIES UNION OF CALIFORNIA,ACLU CALIFORNIA,alternate_spelling
AMERICAN CIVIL LIBERTIES UNION OF CALIFORNIA (ACLU-CA),ACLU CALIFORNIA,alternate_spelling
"AMERICAN COLLEGE OF EMERGENCY PHYSICIANS, CALIFORNIA","AMERICAN COLLEGE OF EMERGENCY PHYSICIANS, CALIFORNIA",canonical
AMERICAN CONCRETE PIPE ASSOCIATION,AMERICAN CONCRETE PIPE ASSOCIATION,canonical
