originalname,editedname,relationship_type
ELSINORE VALLEY MUNICIPAL WATER DISTRICT,ELSINORE VALLEY MUNICIPAL WATER DISTRICT,canonical
EMBARC,EMBARC,canonical
EMERALD FUND,EMERALD FUND,canonical
EMERALD ISLE GOLF COURSE,EMERALD ISLE GOLF COURSE,canonical
EMERYVILLE COUNCILMEMBER JOHN J. BAUTERS,EMERYVILLE COUNCILMEMBER JOHN J. BAUTERS,canonical
EMF SAFETY NETWORK,EMF SAFETY NETWORK,canonical
"EMMANUEL EPISCOPAL CHURCH, ORANGE COUNTY","EMMANUEL EPISCOPAL CHURCH, ORANGE COUNTY",canonical
EMPOWERING PACIFIC ISLANDER COMMUNITIES,EMPOWERING PACIFIC ISLANDER COMMUNITIES,canonical
ENCINITAS,CITY OF ENCINITAS,alternate_spelling
ENCINITAS NEIGHBORS COALITION,ENCINITAS NEIGHBORS COALITION,canonical
ENCINITAS4EQUALITY,ENCINITAS4EQUALITY,canonical
END HUNGER ACTION COALITION,END HUNGER ACTION COALITION,canonical
ENDANGERED HABITATS CONSERVANCY,ENDANGERED HABITATS CONSERVANCY,canonical
ENDANGERED HABITATS LEAGUE,ENDANGERED HABITATS LEAGUE,canonical
ENEL GREEN POWER,ENEL GREEN POWER,canonical
ENERGY EFFICIENCY COUNCIL,ENERGY EFFICIENCY COUNCIL,canonical
"ENERGY EFFICIENCY, INC.","ENERGY EFFICIENCY, INC.",canonical
ENGINEERING &UTILITY CONTRACTORSASSOCIATION,ENGINEERING CONTRACTORS ASSOCIATION,alternate_spelling
ENGINEERING CONTRACTORS ASSOCIATION,ENGINEERING CONTRACTORS ASSOCIATION,canonical
ENGINEERING CONTRACTORS' ASSOCIATION,ENGINEERING CONTRACTORS ASSOCIATION,alternate_spelling
ENLOE MEDICAL CENTER,ENLOE MEDICAL CENTER,canonical
ENSURING OPPORTUNITY CAMPAIGN,ENSURING OPPORTUNITY CAMPAIGN,canonical
ENSURING OPPORTUNITY CAMPAIGN TO END POVERTY IN CONTRA COSTA COUNTY,ENSURING OPPORTUNITY CAMPAIGN TO END POVERTY IN CONTRA COSTA COUNTY,canonical
ENTERPRISE,ENTERPRISE,canonical
ENTERPRISE COMMUNITY PARTNERS,ENTERPRISE COMMUNITY PARTNERS,canonical
"ENTERPRISE COMMUNITY PARTNERS, INC.",ENTERPRISE COMMUNITY PARTNERS,alternate_spelling
ENTERPRISE COMMUNITY PARTNERS; GREENBELT ALLIANCE,ENTERPRISE COMMUNITY PARTNERS,alternate_spelling
ENVIRONMENT CALIFORNIA,ENVIRONMENT CALIFORNIA,canonical
ENVIRONMENTAL ACTION COMMITTEE OF WEST MARIN,ENVIRONMENTAL ACTION COMMITTEE OF WEST MARIN,canonical
ENVIRONMENTAL DEFENSE CENTER,ENVIRONMENTAL DEFENSE CENTER,canonical
ENVIRONMENTAL DEFENSE FUND,ENVIRONMENTAL DEFENSE FUND,canonical
ENVIRONMENTAL HEALTH COALITION,ENVIRONMENTAL HEALTH COALITION,canonical
ENVIRONMENTAL JUSTICE COALITION FOR WATER,ENVIRONMENTAL JUSTICE COALITION FOR WATER,canonical
ENVIRONMENTAL PROTECTION INFORMATION CENTER,ENVIRONMENTAL PROTECTION INFORMATION CENTER,canonical
ENVIRONMENTAL SCIENCE ASSOCIATES,ENVIRONMENTAL SCIENCE ASSOCIATES,canonical
ENVIRONMENTAL WORKING GROUP,ENVIRONMENTAL WORKING GROUP,canonical
ENVISION-TRANSFORM-BUILD EAST PALO ALTO,ENVISION-TRANSFORM-BUILD EAST PALO ALTO,canonical
EPISCOPAL COMMUNITIES & SERVICES,EPISCOPAL COMMUNITIES AND SERVICES,alternate_spelling
EPISCOPAL COMMUNITIES AND SERVICES,EPISCOPAL COMMUNITIES AND SERVICES,canonical
EPISCOPAL COMMUNITY SERVICES OF SAN FRANCISCO,EPISCOPAL COMMUNITY SERVICES OF SAN FRANCISCO,canonical
"EPISCOPAL COMMUNITY SERVICES, SAN FRANCISCO",EPISCOPAL COMMUNITY SERVICES OF SAN FRANCISCO,alternate_spelling
EPISCOPAL DIOCESE OF CALIFORNIA,EPISCOPAL DIOCESE OF CALIFORNIA,canonical
EPISCOPAL DIOCESE OF LOS ANGELES,EPISCOPAL DIOCESE OF LOS ANGELES,canonical
EPISCOPAL HOME COMMUNITIES,EPISCOPAL HOME COMMUNITIES,canonical
"EPISCOPAL IMPACT FUND AND CHRIST CHURCH, ALAMEDA","EPISCOPAL IMPACT FUND AND CHRIST CHURCH, ALAMEDA",canonical
"EPISCOPAL IMPACT FUND, SAN FRANCISCO","EPISCOPAL IMPACT FUND, SAN FRANCISCO",canonical
EQUAL JUSTICE SOCIETY,EQUAL JUSTICE SOCIETY,canonical
EQUAL RIGHTS ADVOCATES,EQUAL RIGHTS ADVOCATES,canonical
EQUALITY CALIFORNIA,EQUALITY CALIFORNIA,canonical
EQUITY COMMUNITY BUILDERS,EQUITY COMMUNITY BUILDERS,canonical
EQUITY COMMUNITY BUILDERS (SAN FRANCISCO),EQUITY COMMUNITY BUILDERS,alternate_spelling
"ERIC GARCETTI, MAYOR OF LOS ANGELES","ERIC GARCETTI, MAYOR OF LOS ANGELES",canonical
"ERIC GARCETTI, MAYOR, CITY OF LOS ANGELES","ERIC GARCETTI, MAYOR OF LOS ANGELES",alternate_spelling
ESCONDIDO COMMUNITY HOUSING COALITION,ESCONDIDO COMMUNITY HOUSING COALITION,canonical
ESCONDIDO NEIGHBORS UNITED,ESCONDIDO NEIGHBORS UNITED,canonical
ESKATON,ESKATON,canonical
ESKATON JEFFERSON MANOR,ESKATON JEFFERSON MANOR,canonical
ESPERANZA COMMUNITY HOUSING,ESPERANZA COMMUNITY HOUSING,canonical
ESPERANZA COMMUNITY HOUSING CORPORATION,ESPERANZA COMMUNITY HOUSING CORPORATION,canonical
ESSIE JUSTICE GROUP,ESSIE JUSTICE GROUP,canonical
EUGENE BURGER MANAGEMENT CORPORATION,EUGENE BURGER MANAGEMENT CORPORATION,canonical
EVANS MANAGEMENT SERVICES (EMS),EVANS MANAGEMENT SERVICES (EMS),canonical
EVERYCHILD FOUNDATION,EVERYCHILD FOUNDATION,canonical
EVERYDAY ENERGY,EVERYDAY ENERGY,canonical
EVERYONE HOME,EVERYONE HOME,canonical
EVERYONE HOME (ALAMEDA COUNTY CONTINUUM OF CARE),EVERYONE HOME,alternate_spelling
"EVERYONE HOME, ENDING HOMELESSNESS IN ALAMEDA COUNTY",EVERYONE HOME,alternate_spelling
EVICTION DEFENSE COLLABORATIVE,EVICTION DEFENSE COLLABORATIVE,canonical
EVICTION DEFENSE NETWORK,EVICTION DEFENSE NETWORK,canonical
EXECUTIVE COUNCIL OF HOMEOWNERS,EXECUTIVE COUNCIL OF HOMEOWNERS,canonical
EXONERATED NATION,EXONERATED NATION,canonical
EXTINCTION REBELLION SF BAY,EXTINCTION REBELLION SF BAY,canonical
FACEBOOK,FACEBOOK,canonical
"FACEBOOK, INC.",FACEBOOK,alternate_spelling
FAIR CHANCE PROJECT,FAIR CHANCE PROJECT,canonical
FAIR HOUSING ADVOCATES OF NORTHERN CALIFORNIA,FAIR HOUSING ADVOCATES OF NORTHERN CALIFORNIA,canonical
"FIELDSTEAD AND COMPANY, INC.","FIELDSTEAD AND COMPANY, INC.",canonical
FAIR HOUSING COUNCIL OF ORANGE COUNTY,FAIR HOUSING COUNCIL OF ORANGE COUNTY,canonical
FAIR HOUSING COUNCIL OF THE SAN FERNANDO VALLEY,FAIR HOUSING COUNCIL OF THE SAN FERNANDO VALLEY,canonical
FAIR HOUSING NAPA VALLEY,FAIR HOUSING NAPA VALLEY,canonical
FAIR HOUSING OF MARIN,FAIR HOUSING OF MARIN,canonical
FAIR HOUSING OF NORTHERN CALIFORNIA,FAIR HOUSING ADVOCATES OF NORTHERN CALIFORNIA,alternate_spelling
FAIR RENTS FOR REDWOOD CITY,FAIR RENTS FOR REDWOOD CITY,canonical
FAIRFIELD,FAIRFIELD,canonical
FAIRNESS FOR MOBILE HOME OWNERS,FAIRNESS FOR MOBILE HOME OWNERS,canonical
FAITH & VISION REALTY,FAITH & VISION REALTY,canonical
FAITH AND COMMUNITY EMPOWERMENT,FAITH AND COMMUNITY EMPOWERMENT,canonical
FAITH IN ACTION,FAITH IN ACTION,canonical
FAITH IN ACTION BAY AREA,FAITH IN ACTION BAY AREA,canonical
FAITH IN ACTION EAST BAY,FAITH IN ACTION EAST BAY,canonical
"FAITH IN ACTION MINISTRY OF ST. ANDREW'S EPISCOPAL CHURCH, ENCINITAS","FAITH IN ACTION MINISTRY OF ST. ANDREW'S EPISCOPAL CHURCH, ENCINITAS",canonical
FAITH IN THE VALLEY,FAITH IN THE VALLEY,canonical
"FAITH IN THE VALLEY, EAST PALO ALTO",FAITH IN THE VALLEY,alternate_spelling
FALL RIVER RESOURCE CONSERVATION DISTRICT,FALL RIVER RESOURCE CONSERVATION DISTRICT,canonical
FALLBROOK SENIORS GOLF GROUP,FALLBROOK SENIORS GOLF GROUP,canonical
FAMILIES FORWARD,FAMILIES FORWARD,canonical
FAMILIES OF PARK MESA HEIGHTS,FAMILIES OF PARK MESA HEIGHTS,canonical
FAMILY ASSISTANCE PROGRAM,FAMILY ASSISTANCE PROGRAM,canonical
FAMILY BUILDERS,FAMILY BUILDERS,canonical
FAMILY CARE NETWORK,FAMILY CARE NETWORK,canonical
FAMILY REUNIFICATION EQUITY & EMPOWERMENT,FAMILY REUNIFICATION EQUITY & EMPOWERMENT,canonical
FAMILY VIOLENCE APPELLATE PROJECT,FAMILY VIOLENCE APPELLATE PROJECT,canonical
FAMILY VIOLENCE LAW CENTER,FAMILY VIOLENCE LAW CENTER,canonical
"FAMILY VIOLENCE LAW CENTER, ALAMEDA COUNTY",FAMILY VIOLENCE LAW CENTER,alternate_spelling
FAMILY WINEMAKERS OF CALIFORNIA,FAMILY WINEMAKERS OF CALIFORNIA,canonical
FANNIE LOU HAMER INSTITUTE,FANNIE LOU HAMER INSTITUTE,canonical
FAR WEST EQUIPMENT DEALERS ASSOCIATION,FAR WEST EQUIPMENT DEALERS ASSOCIATION,canonical
FARMLAND WORKING GROUP,FARMLAND WORKING GROUP,canonical
FASTENAU & ASSOCIATES,FASTENAU & ASSOCIATES,canonical
FATHERS & FAMILIES OF SAN JOAQUIN,FATHERS AND FAMILIES OF SAN JOAQUIN,alternate_spelling
FATHERS AND FAMILIES OF SAN JOAQUIN,FATHERS AND FAMILIES OF SAN JOAQUIN,canonical
FCI MANAGEMENT,FCI MANAGEMENT,canonical
FEATHER RIVER LAND TRUST,FEATHER RIVER LAND TRUST,canonical
FEATHER RIVER RESOURCE CONSERVATION DISTRICT,FEATHER RIVER RESOURCE CONSERVATION DISTRICT,canonical
"FEATHERVINE, SANTA ROSA","FEATHERVINE, SANTA ROSA",canonical
FEDERATED INDIANS OF GRATON RANCHERIA,FEDERATED INDIANS OF GRATON RANCHERIA,canonical
FEDERATION OF HILLSIDE AND CANYON ASSOCIATIONS,FEDERATION OF HILLSIDE AND CANYON ASSOCIATIONS,canonical
FEEDING PETS OF THE HOMELESS,FEEDING PETS OF THE HOMELESS,canonical
FERNANDEÃ‘O TATAVIAM BAND OF MISSION INDIANS,FERNANDEÃ‘O TATAVIAM BAND OF MISSION INDIANS,canonical
FERNWOOD MOBILE HOME COMMUNITY,FERNWOOD MOBILE HOME COMMUNITY,canonical
FERTILE ACTION,FERTILE ACTION,canonical
"FIELDSTEAD AND COMPANY, INC.","FIELDSTEAD AND COMPANY, INC.",canonical
FILIPINO ADVOCATES FOR JUSTICE,FILIPINO ADVOCATES FOR JUSTICE,canonical
FILIPINO MIGRANT CENTER,FILIPINO MIGRANT CENTER,canonical
"FIONA MA, BOARD OF EQUALIZATION DISTRICT 2","FIONA MA, BOARD OF EQUALIZATION DISTRICT 2",canonical
"FIONA MA, CPA, VICE CHAIR, STATE BOARD OF EQUALIZATION, DISTRICT 2","FIONA MA, CPA, VICE CHAIR, STATE BOARD OF EQUALIZATION, DISTRICT 2",canonical
FIRCREST HOMEOWNERS ASSOCIATION,FIRCREST HOMEOWNERS ASSOCIATION,canonical
FIRCREST MOBILE HOME PARK HOMEOWNERS ASSOCIATION,FIRCREST MOBILE HOME PARK HOMEOWNERS ASSOCIATION,canonical
FIRE DISTRICTS ASSOCIATION OF CALIFORNIA,FIRE DISTRICTS ASSOCIATION OF CALIFORNIA,canonical
FIRECREST MOBILEHOME PARK HOMEOWNERS ASSOCIATION,FIRECREST MOBILEHOME PARK HOMEOWNERS ASSOCIATION,canonical
FIREMAN'S FUND INSURANCE COMPANIES,FIREMAN'S FUND INSURANCE COMPANIES,canonical
FIRST 5 ALAMEDA COUNTY,FIRST 5 ALAMEDA COUNTY,canonical
FIRST 5 LA,FIRST 5 LA,canonical
"FIRST BAPTIST CHURCH OF LEMON GROVE, SAN DIEGO","FIRST BAPTIST CHURCH OF LEMON GROVE, SAN DIEGO",canonical
"FIRST CHURCH, BERKELEY","FIRST CHURCH, BERKELEY",canonical
FIRST COMMUNITY HOUSING,FIRST COMMUNITY HOUSING,canonical
FIRST CONGREGATIONAL CHURCH OF ALAMEDA,FIRST CONGREGATIONAL CHURCH OF ALAMEDA,canonical
FIRST CONGREGATIONAL CHURCH OF BERKELEY,FIRST CONGREGATIONAL CHURCH OF BERKELEY,canonical
"FIRST CONGREGATIONAL CHURCH, SANTA ROSA","FIRST CONGREGATIONAL CHURCH, SANTA ROSA",canonical
FIRST CONGREGATIONAL UCC BARSTOW,FIRST CONGREGATIONAL UCC BARSTOW,canonical
FIRST PLACE FOR YOUTH,FIRST PLACE FOR YOUTH,canonical
FIRST PRESBYTERIAN CHURCH OF INGLEWOOD,FIRST PRESBYTERIAN CHURCH OF INGLEWOOD,canonical
FIRST PRESBYTERIAN CHURCH OF MONROVIA,FIRST PRESBYTERIAN CHURCH OF MONROVIA,canonical
FIRST PRESBYTERIAN CHURCH OF SAN MATEO,FIRST PRESBYTERIAN CHURCH OF SAN MATEO,canonical
FIRST STAR,FIRST STAR,canonical
FIRST TEE FRESNO,FIRST TEE FRESNO,canonical
FIRST TEE GREATER SACRAMENTO,FIRST TEE GREATER SACRAMENTO,canonical
FIRST TEE MONTEREY COUNTY,FIRST TEE MONTEREY COUNTY,canonical
FIRST TEE OF SILICON VALLEY,FIRST TEE SILICON VALLEY,alternate_spelling
FIRST TEE SILICON VALLEY,FIRST TEE SILICON VALLEY,canonical
FIRST UNITED METHODIST CHURCH OF LOS ANGELES,FIRST UNITED METHODIST CHURCH OF LOS ANGELES,canonical
FIRST UNITED METHODIST CHURCH OF PALO ALTO,FIRST UNITED METHODIST CHURCH OF PALO ALTO,canonical
"FIRST UNITED METHODIST CHURCH, PASADENA","FIRST UNITED METHODIST CHURCH, PASADENA",canonical
"FIRST UNITED METHODIST CHURCH, SANTA ROSA","FIRST UNITED METHODIST CHURCH, SANTA ROSA",canonical
FISHER REALTORS,FISHER REALTORS,canonical
FIVE KEYS SCHOOLS AND PROGRAMS,FIVE KEYS SCHOOLS AND PROGRAMS,canonical
FIXING ANGELENOS STUCK IN TRAFFIC,FIXING ANGELENOS STUCK IN TRAFFIC,canonical
FLASHER BARRICADE ASSOCIATION,FLASHER BARRICADE ASSOCIATION,canonical
FLORENCE CRITTENTON SERVICES OF ORANGE COUNTY,FLORENCE CRITTENTON SERVICES OF ORANGE COUNTY,canonical
FOLSOM,CITY OF FOLSOM,alternate_spelling
FOLSOM CHAMBER OF COMMERCE,FOLSOM CHAMBER OF COMMERCE,canonical
FOOD AND WATER WATCH,FOOD AND WATER WATCH,canonical
FOOD EMPOWERMENT PROJECT,FOOD EMPOWERMENT PROJECT,canonical
"FOOD FOR PEOPLE, THE FOOD BANK OF HUMBOLDT COUNTY","FOOD FOR PEOPLE, THE FOOD BANK OF HUMBOLDT COUNTY",canonical
FOOD NOT BOMBS,FOOD NOT BOMBS,canonical
"FOOTHILL - DEANZA, KERN, AND PERALTA COMMUNITY COLLEGE DISTRICTS","FOOTHILL - DEANZA, KERN, AND PERALTA COMMUNITY COLLEGE DISTRICTS",canonical
FOOTHILL HOUSE OF HOSPITALITY,FOOTHILL HOUSE OF HOSPITALITY,canonical
FOOTHILLS COMMUNITY CHURCH IN PASADENA,FOOTHILLS COMMUNITY CHURCH IN PASADENA,canonical
FOOTHILLS KITCHEN,FOOTHILLS KITCHEN,canonical
FOOTHILLS KITCHEN IN MONROVIA,FOOTHILLS KITCHEN,alternate_spelling
FORT COLLINS HOMELESS COALITION,FORT COLLINS HOMELESS COALITION,canonical
FORWARD PROGRESS,FORWARD PROGRESS,canonical
FOSSIL FREE CALIFORNIA,FOSSIL FREE CALIFORNIA,canonical
FOSTER CARE PROJECT,FOSTER CARE PROJECT,canonical
FOSTER YOUTH INVESTMENT COALITION,FOSTER YOUTH INVESTMENT COALITION,canonical
FOUNTAIN VALLEY,FOUNTAIN VALLEY,canonical
FOUNTAIN VALLEY ESTATES HOMEOWNERS ASSOCIATION,FOUNTAIN VALLEY ESTATES HOMEOWNERS ASSOCIATION,canonical
FRANKLIN CORRIDOR COALITION,FRANKLIN CORRIDOR COALITION,canonical
FRED FINCH YOUTH AND FAMILY SERVICES,FRED FINCH YOUTH AND FAMILY SERVICES,canonical
FRED FINCH YOUTH CENTER,FRED FINCH YOUTH CENTER,canonical
FREEMONT FOR EVERYONE,FREEMONT FOR EVERYONE,canonical
FREMONT,CITY OF FREMONT,alternate_spelling
FREMONT FOR EVERYONE,FREMONT FOR EVERYONE,canonical
FRESNO,CITY OF FRESNO,alternate_spelling
FRESNO ASSOCIATION OF REALTORS,FRESNO ASSOCIATION OF REALTORS,canonical
FRESNO BARRIOS UNIDOS,FRESNO BARRIOS UNIDOS,canonical
FRESNO CITY COUNCIL DISTRICT ONE,FRESNO CITY COUNCIL DISTRICT ONE,canonical
FRESNO COUNTY ECONOMIC OPPORTUNITIES COMMISSION,FRESNO COUNTY ECONOMIC OPPORTUNITIES COMMISSION,canonical
FRESNO COUNTY FARM BUREAU,FRESNO COUNTY FARM BUREAU,canonical
FRESNO INTERDENOMINATIONAL REFUGEE MINISTRIES,FRESNO INTERDENOMINATIONAL REFUGEE MINISTRIES,canonical
FRESNO METRO MINISTRIES,FRESNO METRO MINISTRIES,canonical
FRESNO METRO MINISTRY,FRESNO METRO MINISTRY,canonical
FRESNO METROPOLITAN FLOOD CONTROL DISTRICT,FRESNO METROPOLITAN FLOOD CONTROL DISTRICT,canonical
FRIENDS AND FAMILY GOLF CLUB,FRIENDS AND FAMILY GOLF CLUB,canonical
FRIENDS AND NEIGHBORS COMMUNITY CLUB,FRIENDS AND NEIGHBORS COMMUNITY CLUB,canonical
FRIENDS COMMITTEE ON LEGISLATION,FRIENDS COMMITTEE ON LEGISLATION,canonical
FRIENDS COMMITTEE ON LEGISLATION OF CALIFORNIA,FRIENDS COMMITTEE ON LEGISLATION,alternate_spelling
"FRIENDS IN DEED, PASADENA","FRIENDS IN DEED, PASADENA",canonical
FRIENDS OF BALLONA WETLANDS,FRIENDS OF BALLONA WETLANDS,canonical
"FRIENDS OF FRONT STREET ANIMAL SHELTER MARS, INCORPORATED","FRIENDS OF FRONT STREET ANIMAL SHELTER MARS, INCORPORATED",canonical
FRIENDS OF GRIFFITH PARK,FRIENDS OF GRIFFITH PARK,canonical
"FRIENDS OF HARBORS, BEACHES AND PARKS","FRIENDS OF HARBORS, BEACHES AND PARKS",canonical
FRIENDS OF LOMA ALTA CREEK,FRIENDS OF LOMA ALTA CREEK,canonical
FRIENDS OF SUNSET PARK,FRIENDS OF SUNSET PARK,canonical
FRIENDS OF SUTRO PARK,FRIENDS OF SUTRO PARK,canonical
FRIENDS OF THE EARTH,FRIENDS OF THE EARTH,canonical
FRIENDS OF THE HILLS (HILLS 2000),FRIENDS OF THE HILLS (HILLS 2000),canonical
FRIENDS OF THE RIVER,FRIENDS OF THE RIVER,canonical
FUND FOR SANTA BARBARA,FUND FOR SANTA BARBARA,canonical
FUND HER,FUND HER,canonical
"GALT MOBILE ESTATES HOMEOWNERS ASSOCIATION, GALT","GALT MOBILE ESTATES HOMEOWNERS ASSOCIATION, GALT",canonical
"GAN HALEV, TIBURON AND MARIN","GAN HALEV, TIBURON AND MARIN",canonical
GARDEN TERRACE ESTATES,GARDEN TERRACE ESTATES,canonical
GARDEN WEST ESTATES,GARDEN WEST ESTATES,canonical
GARDENA ROYAL AND ANCIENT GOLF ASSOCIATION,GARDENA ROYAL AND ANCIENT GOLF ASSOCIATION,canonical
GARFIELD ELEMENTARY SCHOOL,GARFIELD ELEMENTARY SCHOOL,canonical
GATEWAY CITIES COUNCIL OF GOVERNMENTS,GATEWAY CITIES COUNCIL OF GOVERNMENTS,canonical
GAVILAN COLLEGE,GAVILAN COLLEGE,canonical
GAY AND LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY,GAY AND LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY,canonical
GENDER HEALTH CENTER,GENDER HEALTH CENTER,canonical
GENDER SPECTRUM,GENDER SPECTRUM,canonical
GENERAL ASSISTANCE ADVOCACY PROJECT,GENERAL ASSISTANCE ADVOCACY PROJECT,canonical
GENERAL ASSISTANCE ADVOCACY PROJECT (GAAP),GENERAL ASSISTANCE ADVOCACY PROJECT,alternate_spelling
GENERATION HOUSING,GENERATION HOUSING,canonical
GENERATION UP INC.,GENERATION UP INC.,canonical
GENESIS,GENESIS,canonical
GENUP,GENERATION UP INC.,alternate_spelling
"GEORGETTE GOMEZ, SAN DIEGO CITY COUNCIL PRESIDENT","GEORGETTE GOMEZ, SAN DIEGO CITY COUNCIL PRESIDENT",canonical
GH PALMER AND ASSOCIATES,GH PALMER AND ASSOCIATES,canonical
GH PALMER ASSOCIATES,GH PALMER ASSOCIATES,canonical
GIGAWATT,GIGAWATT,canonical
GILCHRIST & RUTTER LAW OFFICES,GILCHRIST & RUTTER LAW OFFICES,canonical
GILROY CHAMBER OF COMMERCE,GILROY CHAMBER OF COMMERCE,canonical
GILROY SAN YSIDRO NUEVA VIDA,GILROY SAN YSIDRO NUEVA VIDA,canonical
GIRLS THINK TANK,GIRLS THINK TANK,canonical
GLENDALE POLICE DEPARTMENT,GLENDALE POLICE DEPARTMENT,canonical
GLENDALE SUCCESSOR AGENCY,GLENDALE SUCCESSOR AGENCY,canonical
GLENWOOD PARK,GLENWOOD PARK,canonical
GLIDE,GLIDE FOUNDATION,alternate_spelling
GLIDE FOUNDATION,GLIDE FOUNDATION,canonical
GLOBAL GREEN USA (SANTA MONICA),GLOBAL GREEN USA (SANTA MONICA),canonical
"GLORIA SEWELL-MURPHY, MEMBER/EDC COMMISSIONER BMCR/ EHUMC, RICHMOND","GLORIA SEWELL-MURPHY, MEMBER/EDC COMMISSIONER BMCR/ EHUMC, RICHMOND",canonical
GOAT HILL GOLF CLUB,GOAT HILL GOLF CLUB,canonical
GOAT HILL PARK GOLF COURSE,GOAT HILL PARK GOLF COURSE,canonical
GOLD COUNTRY RETIREMENT COMMUNITY,GOLD COUNTRY RETIREMENT COMMUNITY,canonical
GOLD COUNTRY RETIREMENT COMMUNITY CENTER,GOLD COUNTRY RETIREMENT COMMUNITY,alternate_spelling
GOLD RIDGE RCD,GOLD RIDGE RCD,canonical
GOLDEN GATE VALLEY NEIGHBORHOOD ASSOCIATION,GOLDEN GATE VALLEY NEIGHBORHOOD ASSOCIATION,canonical
GOLDEN STATE BUILDERS EXCHANGE,GOLDEN STATE BUILDERS EXCHANGE,canonical
GOLDEN STATE BUILDERS EXCHANGES,GOLDEN STATE BUILDERS EXCHANGE,alternate_spelling
GOLDEN STATE MANUFACTURED HOME OWNERS LEAGUE,GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,alternate_spelling
GOLDEN STATE MANUFACTURED HOMEOWNERS LEAGUE,GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,alternate_spelling
GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,canonical
GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE (AS AMENDED ON 3/21/19),GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE (AS AMENDED ON 3/21/19),canonical
GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE SUPER CHAPTER 0016 - PEPPER TREE,GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE SUPER CHAPTER 0016 - PEPPER TREE,canonical
GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE SUPER CHAPTER 0018A - COLONIAL MOBILE MANOR,GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE SUPER CHAPTER 0018A - COLONIAL MOBILE MANOR,canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 1128","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 1128",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 49","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 49",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 708","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 708",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 776","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, CHAPTER 776",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC.",GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,alternate_spelling
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC. (GSMOL)",GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,alternate_spelling
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC., CHAPTER 1152","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC., CHAPTER 1152",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC., CHAPTER 1200","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC., CHAPTER 1200",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC., CHAPTER 841","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, INC., CHAPTER 841",canonical
"GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, SONOMA VALLEY","GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE, SONOMA VALLEY",canonical
"GOLDEN STATE MANUFACTURED-HOME-LEAGUE, INC., SUPER CHAPTER 256","GOLDEN STATE MANUFACTURED-HOME-LEAGUE, INC., SUPER CHAPTER 256",canonical
GOLDEN STATE MANUFACTURERS HOME OWNERS LEAGUE,GOLDEN STATE MANUFACTURED-HOME OWNERS LEAGUE,alternate_spelling
GOLDEN STATE MOBILEHOME OWNERS LEAGUE,GOLDEN STATE MOBILEHOME OWNERS LEAGUE,canonical
GOLDFARB & LIPMAN LLP,GOLDFARB & LIPMAN LLP,canonical
GOLDFARB LIPMAN ATTORNEYS,GOLDFARB & LIPMAN LLP,alternate_spelling
GOLETA CHAMBER OF COMMERCE,GOLETA CHAMBER OF COMMERCE,canonical
GOLETA MANUFACTURED HOME OWNERS COALITION,GOLETA MANUFACTURED HOME OWNERS COALITION,canonical
GOLETA VALLEY BEAUTIFUL,GOLETA VALLEY BEAUTIFUL,canonical
GOLF COURSE SUPERINTENDENTS ASSOCIATION OF NORTHERN CA,GOLF COURSE SUPERINTENDENTS ASSOCIATION OF NORTHERN CALIFORNIA,alternate_spelling
