org_name,bills_supported
"Police Department, City of Costa Mesa",3
"Police Department, City of Ontario",3
Claremont Police Department,3
El Monte Police Department,3
Irwindale Police Department,3
Pomona Police Department,3
Redding Police Department,3
San Gabriel Police Department,3
San Marino Police Department,3
"Presiding Judge, Superior Court, County of Santa Barbara",3
"Probation Department, County of Sacramento",3
Protection of the Educational Rights for Kids,3
Association of California Life and Health Insurance Companies,3
America's Health Insurance Plans,3
"Rauscher Pierce Refnses, Inc",3
"Ray Waller, Mayor, City of Etna",3
"Region 8, State Council of the United Food and Commercial Workers",3
Region and States Council of the United Food and Commercial Workers,3
"Rent Stabilization Board, City of Berkeley",3
"Representative of the President of the United States for USA at Hannover 2000, Inc",3
Retirement Equity Fund,3
"Richard Riordan, Mayor, City of Los Angeles",3
"Rick Fuller, Chief of Police, City of Dixon",3
"Robert Bruesch, Mayor pro Tem, City of Rosemead",3
"Robert Chalk, Chief of Police, City of Clearlake",3
"Robert Silva, Mayor, City of Mendota",3
"Rockard J. Delgadillo, City Attorney, City of Los Angeles",3
"Rod Pacheco, District Attorney, County of Riverside",3
"Roger W. Johnson, Chief of Police, City of Monrovia",3
"Ronald E. Lowenberg, Chief of Police, City of Huntington Beach",3
"Rudy Mendoza, Mayor, City of Woodlake",3
Rural County Representatives of California - are,3
"Russ Curry, Mayor, City of Hanford",3
SB California Association of County Treasurers and Tax Collectors,3
SB California Special Districts Association,3
SB League of California Cities,3
SB Los Angeles Turf Club,3
SB Perris Union High School District,3
SB Planning and Conservation League,3
SB Regional Council of Rural Counties,3
SB The San Diego Supercomputer Center,3
SB Vulcan Chemicals,3
"SEIU (Service Employees International Union), Local 660 and Page",3
SPONSOR!Assoc. of CA Water Agencies,3
"Samuel C. Scott, Chief of Police, City of Fontana",3
City of San Marcos,3
Save Mount Diablo,3
Santa Barbara County Chamber of Commerce,3
Seiad Cardlock,3
Senate Housing & Land Use Committee,3
"Sheriff Dick Williams, County of San Bernardino",3
"South Bay Cities Council of Governments (Carson, El Segundo, Gardena, Hawthorne, Hermosa Beach, Inglewood, Lawndale, Lomita, Manhattan Beach, Palos Verdes Estates, Rancho Palos Verdes, Redondo Beach, Rolling Hills, Rolling Hills Estates, Torrance, and the Harbor City/San Pedro communities of the City of Los Angeles.)",3
"State Building and Construction Trade Council, Charlie Reiter, Sacramento",3
"State Building and Construction Trades Council, in support",3
State Department of Consumers Affairs,3
"Superior Court of California, County of Fresno",3
"Superior Court of California, County of Merced",3
"Superior Court, County of Alameda",3
"Sylvia V. Chávez, Mayor, City of Huron",3
The California Department of Insurance,3
"The Honorable Heather Fargo, Mayor, City of Sacramento",3
"The Honorable Hydee Feldstein Soto, City Attorney, City of Los Angeles",3
"The Honorable London Breed, Mayor, City of San Francisco",3
"The Honorable Tom Butt, Mayor, City of Richmond",3
The ORA,3
Vanguard Car Renal USA,3
Venture & Santa Barbara Counties Chamber of Commerce,3
WIC Breastfeeding Consortium of Southern California,3
Wessman Development Company: GOVERNOR'S VETO MESSAGE,3
"Western University of Health Services, Center for Disability Issues and Health Professions",3
"William Mintline, Chief of Police, City of Colfax",3
"Willis Casey, Chief of Police, City of Pittsburg",3
"Women for: California Women's Law Center",3
Glasforms Inc,3
Consumers Union,3
TURN - The Utility Reform Network,3
percent Campaign-An Initiative of Children,3
the Nutritional Grocers Association of California (NGAC),3
"(Leno) PageB Industrial Hemp Council, Inc",2
(end) California Correctional Peace Officers Association,2
2020 Mom,2
Maternal Mental Health NOW,2
"4-H Youth Development Advisor, University of California Cooperative Extension, County of Los Angeles",2
