org_name,bills_supported
California United Homecare Workers,6
California Speech-Language-Hearing Association (CSHA),6
California Norml (UNREG),6
California Healthcare Association (prior version),6
"California Federation of Teachers AFT, AFL-CIO",6
California Commission on Aging (prior version),6
California Association of Services for,6
Black Chamber of Orange County,6
Berkeley Chamber of Commerce,6
Bend the Arc Jewish Action,6
Asian Americans Advancing Justice - CA,6
"As of April 5, 1996",6
Arcadia Chamber of Commerce,6
Antelope Valley Chamber of Commerce,6
American Cancer Society - Cancer Action Network,6
Alliance of Californians for Community Empowerment (acce Action),6
Advocacy,6
Act of 1927,6
Act of 1913,6
According to a coalition,6
70 individuals,6
50 individuals,6
5 private individuals,6
43 individuals,6
4 Private Individuals,6
350 Contra Costa Action,6
31 individuals,6
29 individuals,6
29 Individuals,6
24 individuals,6
23 Individuals,6
22 Individuals,6
17 Individuals,6
1-individual,6
(prior version of the bill),6
(previous version),6
#Cut50,6
supported by the board,5
sf.citi,5
positions,5
multiple individuals,5
eBay Inc,5
and numerous individuals,5
aag,5
Woodland Hills Chamber of Commerce,5
Woodland,5
Whittier Area Chamber of Commerce,5
Westside Council of Chambers of Commerce (WC3),5
"West Sacramento, City of",5
We fully,5
"W.O.M.A.N., Inc",5
Volunteer Centers of California,5
Two individual letters,5
These costs include,5
The California Professional Firefighters,5
The,5
Temple City Chamber of Commerce,5
State Controller Steve Westley,5
Southern California Association Of Nonprofit Housing,5
Socal350 Climate Action,5
Showing Up for Racial Justice - San Diego,5
Sherman Oaks Chamber of Commerce,5
Sheriff Leroy D. Baca,5
Santa Cruz Chamber of Commerce,5
"Santa Clara County Firefighters, Local 1165",5
Santa Clara County Firefighters,5
SanDiego 350,5
San Ramon Chamber of Commerce,5
San Joaquin Audubon Society,5
"San Diego Police Officers Association, Inc",5
Sacramento Rainbow Chamber of Commerce,5
SLO County Yimby,5
SAGE,5
Rocklin Chamber of Commerce,5
Redbud Audubon Society,5
Rancho Mirage Chamber of Commerce,5
RWE,5
Prior to latest amendments,5
Planned Parenthood: Shasta-Diablo,5
"Planned Parenthood, Shasta-Diablo",5
"Planned Parenthood, Los Angeles",5
Planned Parenthood of Shasta-Diablo,5
Pittsburg,5
"Pfizer, Inc",5
Palos Verdes/South Bay Audubon Society,5
Palos Verdes Estates,5
Pacific Grove Chamber of Commerce,5
Over 200 individuals,5
One individual letter,5
Office of Governor Gray Davis,5
Numerous small businesses,5
Numerous Private Individuals,5
Novato Chamber of Commerce,5
Norwalk Chamber of Commerce,5
Norco Firefighters,5
Newport Harbor Area Chamber of Commerce,5
Millbrae Chamber of Commerce,5
Mexican American Legal Defense Education Fund,5
Mayor Karen Bass,5
Mayor Jerry Sanders,5
MapLight (prior version),5
Manteca Chamber of Commerce,5
Los Angeles Democratic Party,5
Los Angeles Citizens Against Lawsuit Abuse,5
Lincoln Chamber of Commerce,5
Legislative Oversight Committee,5
"Lakewood, City of",5
Laguna Beach,5
LA Mas,5
LA Canada Flintridge Chamber of Commerce,5
Kern County Firefighters Local 1301 Union,5
"John Chiang, Treasurer, State of California",5
Inland Agency,5
Inglewood/Airport Area Chamber of Commerce,5
Indivisible CA: State Strong,5
Individual letters (8),5
Individual letters (6),5
Individual letters (14),5
"Honorable John Chiang, California State Controller",5
High Tech Los Angeles,5
Hawthorne Chamber of Commerce,5
HOAC,5
Greater Eureka Chamber of Commerce,5
Golden State Manufactured Home-Owners League,5
Fresno Police Officers Association (FPOA),5
Finance also,5
Fair Political Practices Commission (prior version),5
Estate,5
"Encinitas, City of",5
Ella Baker Center for Human Rights (prior version),5
"East Bay Habitat for Humanity, Oakland",5
Disability Voices United (UNREG),5
Director,5
Developmental Disabilities,5
Courage California (prior version),5
Controller of the State of California,5
Consumer Federation of California (prior version),5
Congresswoman Maxine Waters,5
Congresswoman Julia Brownley,5
Congressman Brad Sherman,5
City of Santa Barbara Police Department,5
"City of Los Angeles, Mayor Antonio Villaraigosa",5
City of Claremont Police Department,5
City of Buena Park Police Department,5
City of Azusa Police Department,5
Christopher Cabaldon,5
"Chinatown Community Development Center, San Francisco",5
Child,5
California Teamsters Local 911,5
"California Society of Plastic Surgeons, Inc",5
California Society of Health-System Pharmacists (CSHP),5
"California School Employees Association, AFL-CIO (CSEA)",5
California Rural Legal Assistance Foundation - Sponsor,5
California Psychiatric Association (prior version),5
California Medical Assn,5
"California Lawyers Association, Trusts and Estates Section",5
California Credit Union League (CCUL),5
California Court Reporters Association (CCRA),5
California Clean Money Campaign (prior version),5
"California Attorney General, Xavier Becerra",5
Calif. Federation of Teachers (CFT),5
CalAsian Chamber Of Commerce,5
CVMA,5
CONCERNS,5
CA Organization of Police and Sheriffs,5
CA Bridge,5
