org_name,bills_supported
Los Angeles Mayor Antonio Villaraigosa,23
Indivisible: San Diego Central,23
Indivisible San Francisco,23
Indivisible 36,23
Friends Committee on Legislation in California,23
Contra Costa Council,23
Contra Costa,23
"Coalition for Economic Survival, Los Angeles",23
American Subcontractors Association-California,23
"American Subcontractors Association California, Inc",23
American Planning Association - California Chapter,23
American Institute of Architects California,23
7 Individuals,23
14 individuals,23
an individual,22
"State Public Affairs Committee, Junior Leagues of California",22
Stanislaus County District Attorney,22
Santa Clara District Attorney,22
Rocklin Area Chamber of Commerce,22
Power California,22
Poway,22
Planned Parenthood of the Pacific Southwest,22
Physicians for Social Responsibility Los Angeles,22
Palos Verdes Peninsula Chamber of Commerce,22
PODER,22
National Electrical Contractors Association (NECA),22
Indivisible San Pedro,22
Indivisible Petaluma,22
Indivisible Normal Heights,22
Greater High Desert Chamber of Commerce,22
California Continuing Care Residents Association (CALCRA),22
California Competes: Higher Education for a Strong Economy,22
California Citizens Against Lawsuit Abuse,22
California Association of County Veterans Service Officers (CACVSO),22
California Asian Chamber of Commerce,22
#cut50,22
write,21
Yalla Indivisible,21
WateReuse California,21
Visalia Chamber of Commerce,21
Trusts and Estates Section of the State Bar of California,21
Service Employees International Union - California,21
Secretary of State Kevin Shelley,21
Santee Chamber of Commerce,21
San Bernardino County Sheriffs Department,21
Sacramento Asian Pacific Chamber of Commerce,21
Roseville Chamber of Commerce,21
Region,21
North Orange County Chamber of Commerce,21
Modesto,21
Lutheran Office of Public Policy-California,21
Indivisible Ca: Statestrong,21
Indivisible Auburn CA,21
Housing CA,21
Greater San Fernando Valley Chamber of Commerce,21
City of Santa Ana Police Department,21
California State Treasurer Bill Lockyer,21
California State Conference of the National Association for,21
California Organization of Police and Sheriffs (COPS),21
California Council,21
Associations,21
American Jewish Committee - Los Angeles,21
"American Federation of State, County and Municipal Employees, AFL- CIO",21
Agriculture Council of California,21
Affordable Housing Network of Santa Clara County,21
Acterra: Action for a Healthy Planet,21
AFSCME California,21
15 individuals,21
three individuals,20
and Municipal Employees,20
West Hollywood Chamber of Commerce,20
Valley,20
United Nurses Association,20
Two private individuals,20
Tustin,20
Tehama Indivisible,20
State Treasurer Philip Angelides,20
Placer,20
Picayune Rancheria of the Chukchansi Indians,20
Path,20
Moreno Valley Chamber of Commerce,20
Moreno Valley,20
Los Angeles Deputy Sheriffs Association,20
